  I     	  LV     	  LV'		  PA     	  PA'		
 26.25   	 90.78   	 925.73		 19.39   	 101.73		
 32.65   	 94.49   	 834.18		 19.80   	 127.16		
 38.45   	 97.82   	 762.97		 20.31   	 147.51		
 43.64   	100.87   	 701.93		 20.90   	 167.85		
 48.52   	103.68   	 661.24		 21.57   	 188.20		
 53.41   	106.33   	 630.72		 22.32   	 193.29		
 58.59   	108.85   	 620.55		 23.09   	 208.54		
 64.70   	111.33   	 610.37		 23.93   	 203.46		
 72.33   	113.77   	 605.29		 24.74   	 203.46		
 81.48   	116.19   	 605.29		 25.55   	 203.46		
 91.55   	118.62   	 584.94		 26.37   	 193.29		
102.23   	120.96   	 564.60		 27.14   	 183.11		
113.83   	123.21   	 528.99		 27.87   	 183.11		
126.34   	125.33   	 483.21		 28.61   	 183.11		
140.69   	127.26   	 427.26		 29.34   	 172.94		
155.94   	128.97   	 361.14		 30.03   	 178.03		
170.90   	130.42   	 300.10		 30.74   	 172.94		
184.33   	131.62   	 233.98		 31.43   	 172.94		
197.45   	132.55   	 188.20		 32.13   	 172.94		
211.18   	133.31   	 152.59		 32.82   	 162.77		
227.05   	133.92   	 137.33		 33.47   	 157.68		
243.84   	134.47   	 137.33		 34.10   	 147.51		
259.09   	135.01   	 152.59		 34.69   	 132.25		
270.69   	135.63   	 172.94		 35.22   	 116.99		
276.79   	136.32   	 188.20		 35.69   	 101.73		
277.10   	137.07   	 198.37		 36.09   	  81.38		
271.30   	137.86   	 183.11		 36.42   	  61.04		
260.62   	138.60   	 147.51		 36.66   	  45.78		
245.67   	139.19   	  96.64		 36.85   	  30.52		
226.75   	139.57   	  20.35		 36.97   	  15.26		
204.77   	139.65(S)	 -61.04		 37.03   	   5.09		
180.97   	139.41   	-147.51		 37.05   	   0.00		
155.94   	138.82   	-223.80		 37.05   	 -10.17		
131.84   	137.92   	-289.93		 37.01   	 -15.26		
108.64   	136.76   	-325.53		 36.95   	 -15.26		
 86.36   	135.46   	-350.97		 36.89   	 -10.17		
 64.39   	134.06   	-345.88		 36.85   	 -15.26		
 42.11   	132.67   	-340.79		 36.79   	 -10.17		
 20.45   	131.31   	-320.45		 36.74   	 -10.17		
  0.61   	130.03   	-305.19		 36.70   	 -15.26		
-16.48   	128.81   	-284.84		 36.64   	 -10.17		
-30.21   	127.67   	-289.93		 36.60   	 -15.26		
-41.81   	126.51   	-289.93		 36.54   	 -15.26		
-51.57   	125.35   	-310.27		 36.48   	 -25.43		
-60.73   	124.11   	-325.53		 36.38   	 -25.43		
-68.05   	122.81   	-350.97		 36.28   	 -30.52		
-73.24   	121.40   	-361.14		 36.15   	 -35.61		
-76.29   	119.96   	-366.22		 36.01   	 -45.78		
-78.43   	118.49   	-371.31		 35.83   	 -45.78		
-79.65   	117.01   	-366.22		 35.65   	 -55.95		
-80.87   	115.54   	-350.97		 35.42   	 -55.95		
-82.40   	114.14   	-345.88		 35.20   	 -61.04		
-84.23   	112.76   	-325.53		 34.95   	 -66.12		
-86.36   	111.45   	-330.62		 34.69   	 -61.04		
-88.20   	110.13   	-340.79		 34.45   	 -66.12		
-88.20   	108.77   	-371.31		 34.18   	 -71.21		
-86.67   	107.28   	-427.26		 33.90   	 -66.12		
-83.92   	105.57   	-498.47		 33.63   	 -66.12		
-81.18   	103.58   	-584.94		 33.37   	 -71.21		
-79.96   	101.24   	-681.58		 33.08   	 -71.21		
-79.96   	 98.51   	-768.05		 32.80   	 -71.21		
-81.79   	 95.44   	-844.35		 32.51   	 -76.30		
-84.23   	 92.06   	-905.39		 32.21   	 -81.38		
-86.06   	 88.44   	-966.43		 31.88   	 -86.47		
-86.98   	 84.58   	-1032.55		 31.54   	 -91.56		
-85.75   	 80.45   	-1098.67		 31.17   	-106.82		
-83.31   	 76.05   	-1174.97		 30.74   	-111.90		
-79.65   	 71.35   	-1241.09		 30.29   	-127.16		
-76.60   	 66.39   	-1312.30		 29.79   	-132.25		
-74.16   	 61.14   	-1363.17		 29.26   	-142.42		
-72.02   	 55.69   	-1393.69		 28.69   	-142.42		
-70.19   	 50.11   	-1398.77		 28.12   	-142.42		
-70.19   	 44.52   	-1373.34		 27.55   	-137.33		
-71.41   	 39.02   	-1312.30		 27.00   	-122.07		
-73.55   	 33.77   	-1220.75		 26.51   	-106.82		
-75.38   	 28.89   	-1103.76		 26.08   	 -91.56		
-75.38   	 24.48   	-971.51		 25.72   	 -66.12		
-72.94   	 20.59   	-829.09		 25.45   	 -45.78		
-70.19   	 17.27   	-691.76		 25.27   	 -30.52		
-68.36   	 14.51   	-554.42		 25.15   	 -15.26		
-67.75   	 12.29   	-442.52		 25.09   	  -5.09		
-67.44   	 10.52   	-350.97		 25.07   	 -15.26		
-67.44   	  9.11   	-274.67		 25.00   	 -20.35		
-66.83   	  8.02   	-223.80		 24.92   	 -40.69		
-66.83   	  7.12   	-188.20		 24.76   	 -50.86		
-67.44   	  6.37   	-167.85		 24.56   	 -66.12		
-68.36   	  5.70   	-157.68		 24.29   	 -76.30		
-69.27   	  5.07   	-147.51		 23.99   	 -71.21		
-69.89   	  4.48   	-137.33		 23.70   	 -66.12		
-69.89   	  3.93   	-122.07		 23.44   	 -50.86		
-68.97   	  3.44   	-101.73		 23.23   	 -35.61		
-67.75   	  3.03   	 -76.30		 23.09   	 -20.35		
-66.22   	  2.73   	 -45.78		 23.01   	 -10.17		
-65.61   	  2.54   	 -10.17		 22.97   	   5.09		
-65.92   	  2.50(D)	  25.43		 22.99   	  10.17		
-66.83   	  2.60   	  61.04		 23.03   	   5.09		
-66.83   	  2.85   	  96.64		 23.05   	   5.09		
-65.61   	  3.23   	 122.07		 23.07   	   0.00		
-63.78   	  3.72   	 142.42		 23.07   	 -10.17		
-63.48   	  4.29   	 147.51		 23.03   	 -15.26		
-65.92   	  4.88   	 152.59		 22.97   	 -15.26		
-69.58   	  5.49   	 147.51		 22.91   	 -25.43		
-72.94   	  6.08   	 132.25		 22.81   	 -15.26		
-73.85   	  6.61   	 122.07		 22.75   	 -20.35		
-72.63   	  7.10   	 101.73		 22.67   	 -10.17		
-69.58   	  7.51   	  86.47		 22.62   	 -15.26		
-66.53   	  7.85   	  76.30		 22.56   	 -10.17		
-65.00   	  8.16   	  66.12		 22.52   	 -10.17		
-65.31   	  8.42   	  61.04		 22.48   	 -20.35		
-66.53   	  8.67   	  55.95		 22.40   	 -25.43		
-67.14   	  8.89   	  66.12		 22.30   	 -30.52		
-66.22   	  9.16   	  66.12		 22.18   	 -35.61		
-63.78   	  9.42   	  76.30		 22.03   	 -45.78		
-61.34   	  9.73   	  86.47		 21.85   	 -45.78		
-59.81   	 10.07   	  91.56		 21.67   	 -45.78		
-60.12   	 10.44   	  91.56		 21.49   	 -40.69		
-61.65   	 10.80   	  91.56		 21.32   	 -40.69		
-62.87   	 11.17   	  86.47		 21.16   	 -40.69		
-63.17   	 11.52   	  81.38		 21.00   	 -30.52		
-62.26   	 11.84   	  66.12		 20.87   	 -30.52		
-60.73   	 12.11   	  55.95		 20.75   	 -25.43		
-59.81   	 12.33   	  35.61		 20.65   	 -30.52		
-60.12   	 12.47   	  20.35		 20.53   	 -30.52		
-61.04   	 12.55   	  10.17		 20.41   	 -35.61		
-61.95   	 12.59   	   5.09		 20.26   	 -45.78		
-61.95   	 12.61   	  -5.09		 20.08   	 -45.78		
-60.73   	 12.59   	   0.00		 19.90   	 -61.04		
-58.59   	 12.59   	   0.00		 19.65   	 -61.04		
-54.02   	 12.59   	  10.17		 19.41   	 -61.04		
-46.69   	 12.63   	  20.35		 19.17   	 -66.12		
-37.54   	 12.72   	  30.52		 18.90   	 -61.04		
-28.69   	 12.84   	  40.69		 18.66   	 -55.95		
-22.89   	 13.00   	  45.78		 18.43   	 -50.86		
-21.67   	 13.18   	  55.95		 18.23   	 -45.78		
-22.89   	 13.41   	  50.86		 18.05   	 -35.61		
-21.67   	 13.61   	  50.86		 17.90   	 -30.52		
-13.43   	 13.81   	  45.78		 17.78   	 -30.52		
  3.05   	 14.00   	  40.69		 17.66   	 -30.52		
 24.11   	 14.16   	  25.43		 17.54   	 -30.52		
 43.03   	 14.26   	  10.17		 17.42   	 -30.52		
 53.10   	 14.30   	   0.00		 17.29   	 -30.52		
 50.96   	 14.30   	 -10.17		 17.17   	 -35.61		
 39.06   	 14.26   	 -25.43		 17.03   	 -35.61		
 23.80   	 14.16   	 -25.43		 16.89   	 -30.52		
 10.99   	 14.06   	 -35.61		 16.76   	 -30.52		
  4.27   	 13.92   	 -35.61		 16.64   	 -30.52		
  1.53   	 13.77   	 -40.69		 16.52   	 -20.35		
 -1.53   	 13.61   	 -35.61		 16.44   	 -20.35		
 -9.77   	 13.47   	 -35.61		 16.36   	 -10.17		
-24.72   	 13.33   	 -30.52		 16.32   	 -15.26		
-44.86   	 13.20   	 -25.43		 16.26   	 -10.17		
-65.31   	 13.10   	 -30.52		 16.22   	 -15.26		
-81.48   	 12.98   	 -20.35		 16.15   	 -15.26		
-89.42   	 12.90   	 -25.43		 16.09   	 -15.26		
-90.03   	 12.80   	 -25.43		 16.03   	 -20.35		
-85.45   	 12.70   	 -20.35		 15.95   	 -20.35		
-78.74   	 12.61   	 -30.52		 15.87   	 -20.35		
-72.33   	 12.49   	 -25.43		 15.79   	 -10.17		
-67.75   	 12.39   	 -35.61		 15.75   	  -5.09		
-65.61   	 12.25   	 -30.52		 15.73   	   0.00		
-65.61   	 12.13   	 -35.61		 15.73   	   5.09		
-67.75   	 11.98   	 -35.61		 15.75   	  15.26		
-70.80   	 11.84   	 -35.61		 15.81   	  15.26		
-72.63   	 11.70   	 -40.69		 15.87   	  15.26		
-72.02   	 11.54   	 -35.61		 15.93   	  10.17		
-70.19   	 11.39   	 -40.69		 15.97   	   5.09		
-69.58   	 11.23   	 -40.69		 15.99   	   0.00		
-73.24   	 11.07   	 -45.78		 15.99   	 -10.17		
-83.01   	 10.89   	 -45.78		 15.95   	 -20.35		
-99.18   	 10.70   	 -50.86		 15.87   	 -25.43		
-118.41   	 10.50   	 -45.78		 15.77   	 -30.52		
-137.94   	 10.32   	 -50.86		 15.65   	 -35.61		
-154.11   	 10.11   	 -45.78		 15.50   	 -35.61		
-163.88   	  9.93   	 -35.61		 15.36   	 -35.61		
-163.27   	  9.79   	 -30.52		 15.22   	 -25.43		
-142.21   	  9.66   	 -25.43		 15.12   	 -25.43		
-85.14   	  9.56   	 -15.26		 15.02   	 -15.26		
 20.45   	  9.50   	   0.00		 14.95   	   0.00		
175.17   	  9.50   	   5.09		 14.95   	   0.00		
356.45   	  9.52   	  20.35		 14.95   	  15.26		
511.47   	  9.60   	  25.43		 15.02   	  20.35		
575.26(R)	  9.70   	  35.61		 15.10   	  20.35		
509.64   	  9.85   	  40.69		 15.18   	  30.52		
334.47   	 10.01   	  55.95		 15.30   	  25.43		
127.26   	 10.23   	  66.12		 15.40   	  25.43		
-17.40   	 10.50   	  76.30		 15.50   	  20.35		
-48.22   	 10.80   	  96.64		 15.58   	  15.26		
 11.29   	 11.19   	 116.99		 15.65   	   5.09		
 90.64   	 11.66   	 147.51		 15.67   	   5.09		
127.87   	 12.25   	 183.11		 15.69   	   0.00		
105.59   	 12.98   	 223.80		 15.69   	  -5.09		
 47.30   	 13.88   	 279.75		 15.67   	 -10.17		
-11.29   	 14.99   	 345.88		 15.63   	 -15.26		
-47.30   	 16.38   	 412.00		 15.56   	 -10.17		
-55.85   	 18.03   	 488.30		 15.52   	 -10.17		
-43.95   	 19.98   	 564.60		 15.48   	  -5.09		
-23.50   	 22.24   	 635.81		 15.46   	  10.17		
 -6.71   	 24.78   	 696.84		 15.50   	  25.43		
 -0.92   	 27.57   	 747.71		 15.61   	  40.69		
 -4.88   	 30.56   	 788.40		 15.77   	  66.12		
-10.99   	 33.71   	 813.83		 16.03   	  81.38		
-12.82   	 36.97   	 839.26		 16.36   	  91.56		
 -9.46   	 40.33   	 864.70		 16.72   	  86.47		
 -4.27   	 43.78   	 905.39		 17.07   	  81.38		
 -0.61   	 47.41   	 951.17		 17.40   	  66.12		
  1.53   	 51.21   	1022.38		 17.66   	  55.95		
  3.36   	 55.30   	1088.50		 17.88   	  35.61		
  5.49   	 59.65   	1149.54		 18.03   	  40.69		
  8.54   	 64.25   	1185.14		 18.19   	  40.69		
 13.12   	 68.99   	1190.23		 18.35   	  66.12		
 19.84   	 73.75   	1164.80		 18.62   	  91.56		
 27.77   	 78.41   	1103.76		 18.98   	 127.16		
 35.40   	 82.83   	1022.38		 19.49   	 167.85		
 42.11   	 86.92   	 925.73		 20.16   	 193.29		
 46.69   	 90.62   	 824.00		 20.94   	 218.72		
 49.74   	 93.92   	 737.54		 21.81   	 239.06		
 52.49   	 96.87   	 661.24		 22.77   	 244.15		
 56.15   	 99.51   	 610.37		 23.74   	 244.15		
 62.87   	101.95   	 569.68		 24.72   	 239.06		
 72.94   	104.23   	 559.51		 25.68   	 233.98		
 85.75   	106.47   	 549.34		 26.61   	 228.89		
 98.57   	108.67   	 549.34		 27.53   	 218.72		
110.17   	110.86   	 554.42		 28.40   	 218.72		
119.32   	113.08   	 549.34		 29.28   	 208.54		
127.87   	115.28   	 534.08		 30.11   	 208.54		
137.94   	117.42   	 513.73		 30.95   	 198.37		
149.84   	119.47   	 478.13		 31.74   	 193.29		
163.88   	121.38   	 432.35		 32.51   	 188.20		
178.53   	123.11   	 381.48		 33.27   	 178.03		
193.48   	124.64   	 320.45		 33.98   	 167.85		
208.44   	125.92   	 264.50		 34.65   	 157.68		
223.08   	126.98   	 208.54		 35.28   	 142.42		
235.60   	127.81   	 162.77		 35.85   	 132.25		
245.67   	128.46   	 122.07		 36.38   	 111.90		
252.08   	128.95   	  96.64		 36.83   	 101.73		
255.74   	129.34   	  86.47		 37.23   	  86.47		
256.96   	129.68   	  86.47		 37.58   	  71.21		
256.04   	130.03   	  86.47		 37.86   	  61.04		
251.46   	130.38   	  91.56		 38.11   	  45.78		
242.31   	130.74   	  81.38		 38.29   	  40.69		
227.05   	131.07   	  71.21		 38.45   	  25.43		
205.69   	131.35   	  30.52		 38.56   	  15.26		
179.75   	131.47(S)	 -10.17		 38.62   	  10.17		
151.98   	131.43   	 -66.12		 38.66   	   0.00		
126.04   	131.17   	-122.07		 38.66   	  -5.09		
103.15   	130.68   	-183.11		 38.64   	 -10.17		
 82.70   	129.95   	-239.06		 38.60   	 -20.35		
 62.26   	128.99   	-274.67		 38.51   	 -25.43		
 40.89   	127.89   	-315.36		 38.41   	 -30.52		
 18.01   	126.63   	-330.62		 38.29   	 -30.52		
 -2.75   	125.31   	-345.88		 38.17   	 -40.69		
-19.23   	123.93   	-345.88		 38.01   	 -40.69		
-29.91   	122.54   	-350.97		 37.84   	 -45.78		
-36.32   	121.14   	-350.97		 37.66   	 -40.69		
-41.81   	119.74   	-350.97		 37.50   	 -45.78		
-48.83   	118.33   	-350.97		 37.31   	 -45.78		
-57.68   	116.93   	-350.97		 37.13   	 -45.78		
-66.83   	115.52   	-356.05		 36.95   	 -45.78		
-73.24   	114.10   	-356.05		 36.76   	 -40.69		
-76.29   	112.68   	-350.97		 36.60   	 -35.61		
-76.60   	111.27   	-345.88		 36.46   	 -30.52		
-75.68   	109.89   	-340.79		 36.34   	 -25.43		
-75.99   	108.52   	-335.71		 36.24   	 -20.35		
-78.43   	107.18   	-325.53		 36.15   	 -10.17		
-82.40   	105.88   	-330.62		 36.11   	 -10.17		
-86.67   	104.56   	-330.62		 36.07   	  -5.09		
-88.81   	103.23   	-345.88		 36.05   	  -5.09		
-87.89   	101.85   	-381.48		 36.03   	 -10.17		
-85.45   	100.33   	-442.52		 35.99   	 -20.35		
-82.70   	 98.56   	-508.65		 35.91   	 -30.52		
-80.87   	 96.52   	-600.20		 35.79   	 -45.78		
-80.57   	 94.12   	-686.67		 35.61   	 -61.04		
-80.87   	 91.37   	-762.97		 35.36   	 -66.12		
-81.48   	 88.32   	-839.26		 35.10   	 -81.38		
-82.70   	 84.96   	-920.65		 34.77   	 -86.47		
-83.92   	 81.28   	-1017.29		 34.43   	 -91.56		
-85.45   	 77.21   	-1113.93		 34.06   	 -81.38		
-86.06   	 72.76   	-1220.75		 33.73   	 -76.30		
-84.84   	 67.87   	-1312.30		 33.43   	 -61.04		
-82.70   	 62.62   	-1383.51		 33.18   	 -50.86		
-80.26   	 57.09   	-1429.29		 32.98   	 -45.78		
-78.43   	 51.37   	-1429.29		 32.80   	 -40.69		
-76.90   	 45.66   	-1393.69		 32.63   	 -50.86		
-76.29   	 40.08   	-1317.39		 32.43   	 -66.12		
-75.99   	 34.81   	-1200.40		 32.17   	 -86.47		
-76.60   	 30.01   	-1068.15		 31.82   	-101.73		
-78.13   	 25.74   	-915.56		 31.41   	-122.07		
-79.65   	 22.08   	-757.88		 30.93   	-127.16		
-80.87   	 19.04   	-610.37		 30.42   	-127.16		
-80.26   	 16.60   	-478.13		 29.91   	-122.07		
-78.13   	 14.69   	-371.31		 29.42   	-106.82		
-75.07   	 13.20   	-284.84		 28.99   	 -91.56		
-72.02   	 12.07   	-228.89		 28.63   	 -66.12		
-70.19   	 11.15   	-198.37		 28.36   	 -45.78		
-69.27   	 10.36   	-178.03		 28.18   	 -30.52		
-69.27   	  9.64   	-178.03		 28.06   	 -15.26		
-68.66   	  8.93   	-172.94		 28.00   	 -10.17		
-67.75   	  8.24   	-178.03		 27.96   	 -10.17		
-66.83   	  7.53   	-178.03		 27.91   	   0.00		
-67.14   	  6.82   	-167.85		 27.91   	   0.00		
-68.97   	  6.14   	-147.51		 27.91   	   5.09		
-71.72   	  5.55   	-127.16		 27.93   	  10.17		
-73.85   	  5.05   	 -91.56		 27.98   	  15.26		
-74.16   	  4.68   	 -55.95		 28.04   	  25.43		
-73.24   	  4.46   	 -20.35		 28.14   	  35.61		
-71.72   	  4.37(D)	  20.35		 28.28   	  35.61		
-71.11   	  4.46   	  61.04		 28.42   	  35.61		
-71.41   	  4.70   	  86.47		 28.57   	  35.61		
-72.94   	  5.05   	 116.99		 28.71   	  30.52		
-75.07   	  5.51   	 137.33		 28.83   	  25.43		
-76.60   	  6.06   	 157.68		 28.93   	  20.35		
-77.51   	  6.69   	 162.77		 29.01   	  10.17		
-77.82   	  7.34   	 167.85		 29.05   	  10.17		
-77.21   	  8.02   	 167.85		 29.09   	   5.09		
-75.68   	  8.69   	 172.94		 29.11   	   0.00		
-73.55   	  9.38   	 162.77		 29.11   	   5.09		
-71.41   	 10.03   	 162.77		 29.14   	   5.09		
-70.50   	 10.68   	 152.59		 29.16   	   0.00		
-70.50   	 11.29   	 152.59		 29.16   	   5.09		
-71.11   	 11.90   	 147.51		 29.18   	   5.09		
-71.11   	 12.49   	 142.42		 29.20   	   0.00		
-70.19   	 13.06   	 137.33		 29.20   	   5.09		
-68.97   	 13.61   	 132.25		 29.22   	   5.09		
-68.66   	 14.14   	 127.16		 29.24   	   5.09		
-69.58   	 14.65   	 122.07		 29.26   	  10.17		
-71.41   	 15.14   	 116.99		 29.30   	  10.17		
-72.94   	 15.61   	 106.82		 29.34   	   5.09		
-73.85   	 16.03   	 101.73		 29.36   	  10.17		
-74.46   	 16.44   	  96.64		 29.40   	   5.09		
-75.07   	 16.83   	  86.47		 29.42   	   0.00		
-75.38   	 17.17   	  81.38		 29.42   	   0.00		
-74.77   	 17.50   	  71.21		 29.42   	  -5.09		
-73.24   	 17.78   	  66.12		 29.40   	  -5.09		
-71.41   	 18.05   	  55.95		 29.38   	 -15.26		
-69.89   	 18.27   	  45.78		 29.32   	 -10.17		
-69.27   	 18.45   	  35.61		 29.28   	 -15.26		
-67.44   	 18.60   	  30.52		 29.22   	 -10.17		
-63.48   	 18.72   	  25.43		 29.18   	 -10.17		
-57.07   	 18.82   	  15.26		 29.14   	  -5.09		
-49.74   	 18.88   	  10.17		 29.11   	  -5.09		
-43.95   	 18.92   	   5.09		 29.09   	   5.09		
-39.98   	 18.94   	   5.09		 29.11   	   0.00		
-36.62   	 18.96   	   5.09		 29.11   	   5.09		
-29.91   	 18.98   	   5.09		 29.14   	   0.00		
-18.31   	 19.00   	   5.09		 29.14   	   0.00		
 -2.14   	 19.02   	   5.09		 29.14   	   5.09		
 13.73   	 19.04   	  10.17		 29.16   	  -5.09		
 25.02   	 19.08   	   5.09		 29.14   	   0.00		
 28.08   	 19.10   	  10.17		 29.14   	  -5.09		
 24.11   	 19.15   	  10.17		 29.11   	  -5.09		
 15.87   	 19.19   	  10.17		 29.09   	 -10.17		
  7.63   	 19.23   	   5.09		 29.05   	  -5.09		
  1.83   	 19.25   	   5.09		 29.03   	 -10.17		
 -2.44   	 19.27   	   0.00		 28.99   	 -10.17		
 -8.24   	 19.27   	   5.09		 28.95   	 -10.17		
-17.40   	 19.29   	   0.00		 28.91   	  -5.09		
-31.13   	 19.29   	   0.00		 28.89   	 -10.17		
-48.22   	 19.29   	   0.00		 28.85   	 -10.17		
-65.61   	 19.29   	   0.00		 28.81   	  -5.09		
-80.57   	 19.29   	  10.17		 28.79   	  -5.09		
-90.94   	 19.33   	   5.09		 28.77   	   0.00		
-95.83   	 19.35   	  10.17		 28.77   	  -5.09		
-96.74   	 19.39   	  15.26		 28.75   	   0.00		
-95.21   	 19.45   	  15.26		 28.75   	   5.09		
-93.08   	 19.51   	  15.26		 28.77   	   0.00		
-91.55   	 19.57   	  20.35		 28.77   	   0.00		
-90.33   	 19.65   	  15.26		 28.77   	   0.00		
-88.50   	 19.72   	  15.26		 28.77   	   0.00		
-86.06   	 19.78   	  15.26		 28.77   	  -5.09		
-83.92   	 19.84   	  10.17		 28.75   	  -5.09		
-83.01   	 19.88   	  10.17		 28.73   	 -10.17		
-83.01   	 19.92   	  15.26		 28.69   	 -10.17		
-84.53   	 19.98   	  15.26		 28.65   	  -5.09		
-86.06   	 20.04   	  15.26		 28.63   	  -5.09		
-87.89   	 20.10   	  25.43		 28.61   	   0.00		
-91.86   	 20.20   	  35.61		 28.61   	   0.00		
-100.10   	 20.35   	  35.61		 28.61   	  10.17		
-114.44   	 20.49   	  50.86		 28.65   	   5.09		
-133.97   	 20.69   	  50.86		 28.67   	  10.17		
-155.03   	 20.90   	  61.04		 28.71   	   5.09		
-170.90   	 21.14   	  61.04		 28.73   	   5.09		
-173.34   	 21.38   	  66.12		 28.75   	   0.00		
-152.28   	 21.65   	  61.04		 28.75   	   0.00		
-93.69   	 21.89   	  66.12		 28.75   	  -5.09		
 14.95   	 22.16   	  61.04		 28.73   	  -5.09		
176.09   	 22.40   	  55.95		 28.71   	   0.00		
375.98   	 22.62   	  50.86		 28.71   	   5.09		
573.73   	 22.83   	  45.78		 28.73   	   5.09		
706.48   	 23.01   	  40.69		 28.75   	  10.17		
720.52(R)	 23.17(E)	  35.61		 28.79   	  10.17		
606.38   	 23.32   	  40.69		 28.83   	  10.17		
416.56   	 23.48   	  45.78		 28.87   	  10.17		
240.78   	 23.66   	  55.95		 28.91   	  10.17		
151.37   	 23.89   	  71.21		 28.95   	  10.17		
156.56   	 24.17   	 101.73		 28.99   	   5.09		
204.16   	 24.58   	 137.33		 29.01   	   5.09		
227.66   	 25.13   	 188.20		 29.03   	  10.17		
194.70   	 25.88   	 244.15		 29.07   	   5.09		
117.49   	 26.86   	 320.45		 29.09   	   0.00		
 28.99   	 28.14   	 401.83		 29.09   	   0.00		
-40.59   	 29.75   	 493.39		 29.09   	   0.00		
-79.35   	 31.72   	 590.03		 29.09   	 -10.17		
-88.20   	 34.08   	 686.67		 29.05   	 -15.26		
-75.99   	 36.83   	 783.31		 28.99   	 -25.43		
-57.07   	 39.96   	 879.96		 28.89   	 -25.43		
-44.56   	 43.48   	 976.60		 28.79   	 -25.43		
-43.95   	 47.39   	1083.41		 28.69   	 -25.43		
-50.96   	 51.72   	1185.14		 28.59   	 -25.43		
-56.76   	 56.46   	1271.61		 28.48   	 -20.35		
-56.76   	 61.55   	1347.91		 28.40   	 -10.17		
-53.10   	 66.94   	1388.60		 28.36   	   0.00		
-49.13   	 72.49   	1388.60		 28.36   	  15.26		
-46.08   	 78.05   	1342.82		 28.42   	  20.35		
-42.72   	 83.42   	1266.53		 28.50   	  30.52		
-38.45   	 88.48   	1154.62		 28.63   	  50.86		
-33.57   	 93.10   	1022.38		 28.83   	  55.95		
-28.99   	 97.19   	 900.30		 29.05   	  76.30		
-25.33   	100.79   	 773.14		 29.36   	  81.38		
-21.06   	103.89   	 671.41		 29.68   	 101.73		
-16.78   	106.57   	 590.03		 30.09   	 111.90		
-12.82   	108.93   	 549.34		 30.54   	 122.07		
 -9.77   	111.13   	 528.99		 31.03   	 127.16		
 -7.02   	113.24   	 534.08		 31.54   	 137.33		
 -4.27   	115.38   	 559.51		 32.09   	 142.42		
  0.00   	117.62   	 590.03		 32.66   	 142.42		
  6.41   	119.98   	 615.46		 33.22   	 142.42		
 14.34   	122.44   	 630.72		 33.79   	 147.51		
 22.58   	124.96   	 620.55		 34.38   	 147.51		
 30.52   	127.45   	 595.11		 34.97   	 152.59		
 37.84   	129.83   	 544.25		 35.58   	 152.59		
 44.56   	132.00   	 467.95		 36.20   	 157.68		
 51.88   	133.88   	 391.66		 36.83   	 162.77		
 60.12   	135.44   	 320.45		 37.48   	 172.94		
 69.89   	136.72   	 264.50		 38.17   	 172.94		
 80.87   	137.78   	 233.98		 38.86   	 178.03		
 92.47   	138.72   	 228.89		 39.57   	 183.11		
104.06   	139.63   	 244.15		 40.31   	 178.03		
115.05   	140.61   	 279.75		 41.02   	 183.11		
125.12   	141.73   	 305.19		 41.75   	 172.94		
134.28   	142.95   	 330.62		 42.44   	 172.94		
143.13   	144.27   	 335.71		 43.13   	 162.77		
151.98   	145.61   	 305.19		 43.78   	 152.59		
159.61   	146.84   	 259.41		 44.39   	 142.42		
165.10   	147.87   	 183.11		 44.96   	 132.25		
166.63   	148.61   	  96.64		 45.49   	 122.07		
164.49   	148.99   	   5.09		 45.98   	 111.90		
158.08   	149.01(S)	 -96.64		 46.43   	 101.73		
148.01   	148.63   	-178.03		 46.84   	  91.56		
134.58   	147.91   	-244.15		 47.20   	  86.47		
118.71   	146.94   	-279.75		 47.55   	  81.38		
101.32   	145.82   	-300.10		 47.87   	  76.30		
 83.31   	144.62   	-284.84		 48.18   	  66.12		
 66.22   	143.48   	-254.32		 48.44   	  55.95		
 50.05   	142.46   	-208.54		 48.67   	  50.86		
 35.40   	141.63   	-167.85		 48.87   	  40.69		
 21.36   	140.96   	-137.33		 49.03   	  30.52		
  6.71   	140.41   	-122.07		 49.16   	  30.52		
 -8.54   	139.92   	-132.25		 49.28   	  20.35		
-23.50   	139.39   	-157.68		 49.36   	  15.26		
-36.62   	138.76   	-203.46		 49.42   	  10.17		
-47.30   	137.94   	-249.24		 49.46   	  10.17		
-55.54   	136.95   	-300.10		 49.50   	   5.09		
-62.56   	135.75   	-335.71		 49.52   	   5.09		
-69.27   	134.40   	-361.14		 49.54   	   5.09		
-75.68   	132.96   	-366.22		 49.56   	   5.09		
-81.48   	131.49   	-366.22		 49.58   	   5.09		
-85.14   	130.03   	-350.97		 49.60   	   0.00		
-87.28   	128.63   	-325.53		 49.60   	   5.09		
-88.20   	127.32   	-300.10		 49.62   	   0.00		
-89.42   	126.12   	-284.84		 49.62   	   5.09		
-91.25   	124.98   	-274.67		 49.64   	   0.00		
-93.69   	123.89   	-284.84		 49.64   	   0.00		
-96.13   	122.75   	-305.19		 49.64   	  -5.09		
-97.66   	121.53   	-335.71		 49.62   	   0.00		
-97.35   	120.18   	-376.40		 49.62   	 -10.17		
-95.83   	118.68   	-417.09		 49.58   	 -10.17		
-94.30   	117.01   	-473.04		 49.54   	 -15.26		
-92.47   	115.12   	-523.90		 49.48   	 -25.43		
-90.94   	113.02   	-584.94		 49.38   	 -30.52		
