  I     	  II     	  CH1     	  CH1'		  AO     	  AO'		
 -5.49   	-54.02   	  6.45   	   0.00		 62.20   	 -50.86		
 -6.71   	-49.74   	  6.45   	   0.00		 61.99   	 -55.95		
 -7.02   	-40.28   	  6.45   	   0.00		 61.77   	 -55.95		
 -6.71   	-33.26   	  6.45   	   0.00		 61.55   	 -50.86		
 -5.19   	-33.87   	  6.45   	   0.00		 61.34   	 -40.69		
 -3.97   	-41.20   	  6.45   	   0.00		 61.18   	 -35.61		
 -2.44   	-49.13   	  6.45   	   0.00		 61.04   	 -25.43		
 -1.53   	-50.96   	  6.45   	   0.00		 60.94   	 -20.35		
 -1.53   	-43.95   	  6.45   	   0.00		 60.85   	 -20.35		
 -3.36   	-32.04   	  6.45   	   0.00		 60.77   	 -20.35		
 -6.41   	-23.80   	  6.45   	   0.00		 60.69   	 -30.52		
 -8.85   	-23.50   	  6.45   	   0.00		 60.57   	 -30.52		
 -9.46   	-31.13   	  6.45   	   0.00		 60.45   	 -35.61		
 -7.63   	-40.59   	  6.45   	   0.00		 60.30   	 -40.69		
 -5.19   	-46.69   	  6.45   	  -5.09		 60.14   	 -45.78		
 -3.97   	-46.39   	  6.43   	   0.00		 59.96   	 -40.69		
 -3.36   	-41.20   	  6.43   	   0.00		 59.80   	 -35.61		
 -3.66   	-33.26   	  6.43   	   0.00		 59.65   	 -30.52		
 -3.05   	-23.80   	  6.43   	   0.00		 59.53   	 -25.43		
 -1.83   	-14.04   	  6.43   	   0.00		 59.43   	 -25.43		
  0.31   	 -7.32   	  6.43   	   0.00		 59.33   	 -15.26		
  2.14   	 -7.63   	  6.43   	   0.00		 59.27   	 -15.26		
  2.75   	-17.70   	  6.43   	   0.00		 59.21   	 -15.26		
  0.61   	-34.18   	  6.43   	   0.00		 59.15   	 -20.35		
 -3.36   	-47.61   	  6.43   	   0.00		 59.06   	 -20.35		
 -7.63   	-49.13   	  6.43   	   0.00		 58.98   	 -25.43		
 -9.16   	-36.93   	  6.43   	   0.00		 58.88   	 -35.61		
 -7.93   	-20.75   	  6.43   	   0.00		 58.74   	 -35.61		
 -4.27   	-12.82   	  6.43   	   0.00		 58.60   	 -30.52		
 -0.92   	-18.62   	  6.43   	   0.00		 58.47   	 -35.61		
  0.92   	-32.65   	  6.43   	   0.00		 58.33   	 -30.52		
  1.53   	-42.11   	  6.43   	   0.00		 58.21   	 -30.52		
  1.83   	-40.28   	  6.43   	   5.09		 58.09   	 -30.52		
  1.83   	-31.43   	  6.45   	   0.00		 57.97   	 -25.43		
  2.14   	-25.94   	  6.45   	   0.00		 57.86   	 -20.35		
  1.83   	-28.99   	  6.45   	   0.00		 57.78   	 -15.26		
  0.61   	-35.40   	  6.45   	   0.00		 57.72   	 -20.35		
 -1.53   	-38.45   	  6.45   	   0.00		 57.64   	 -15.26		
 -3.36   	-35.40   	  6.45   	   0.00		 57.58   	 -15.26		
 -4.27   	-31.74   	  6.45   	   5.09		 57.52   	 -15.26		
 -4.27   	-34.18   	  6.47   	   0.00		 57.46   	 -20.35		
 -4.27   	-42.72   	  6.47   	   0.00		 57.38   	 -20.35		
 -4.88   	-51.27   	  6.47   	   0.00		 57.29   	 -25.43		
 -6.41   	-53.10   	  6.47   	   0.00		 57.19   	 -25.43		
 -7.02   	-46.08   	  6.47   	   0.00		 57.09   	 -30.52		
 -5.80   	-35.10   	  6.47   	   0.00		 56.97   	 -30.52		
 -2.44   	-26.55   	  6.47   	   0.00		 56.85   	 -25.43		
  0.61   	-23.80   	  6.47   	   0.00		 56.74   	 -25.43		
  1.83   	-25.63   	  6.47   	   0.00		 56.64   	 -20.35		
  0.31   	-28.99   	  6.47   	   0.00		 56.56   	 -25.43		
 -2.75   	-30.21   	  6.47   	   0.00		 56.46   	 -20.35		
 -3.66   	-27.77   	  6.47   	   0.00		 56.38   	 -15.26		
 -1.53   	-24.41   	  6.47   	   0.00		 56.32   	 -15.26		
  3.05   	-22.58   	  6.47   	  -5.09		 56.26   	 -20.35		
  6.71   	-23.50   	  6.45   	   0.00		 56.17   	 -15.26		
  7.63   	-26.86   	  6.45   	   0.00		 56.11   	 -20.35		
  5.49   	-30.82   	  6.45   	   0.00		 56.03   	 -20.35		
  2.44   	-32.96   	  6.45   	   0.00		 55.95   	 -20.35		
  0.31   	-32.65   	  6.45   	   0.00		 55.87   	 -15.26		
  0.00   	-31.13   	  6.45   	   0.00		 55.81   	 -20.35		
  1.22   	-29.60   	  6.45   	   0.00		 55.73   	 -15.26		
  2.44   	-27.77   	  6.45   	   0.00		 55.67   	 -20.35		
  3.97   	-24.11   	  6.45   	   0.00		 55.58   	 -25.43		
  5.49   	-17.40   	  6.45   	   0.00		 55.48   	 -20.35		
  7.93   	-11.29   	  6.45   	   0.00		 55.40   	 -25.43		
 10.38   	-10.68   	  6.45   	   0.00		 55.30   	 -20.35		
 11.90   	-19.53   	  6.45   	   0.00		 55.22   	 -25.43		
 10.99   	-33.87   	  6.45   	   0.00		 55.12   	 -25.43		
  8.24   	-43.03   	  6.45   	   0.00		 55.02   	 -25.43		
  5.49   	-38.45   	  6.45   	   0.00		 54.91   	 -20.35		
  4.58   	-22.28   	  6.45   	   0.00		 54.83   	 -15.26		
  5.80   	 -4.88   	  6.45   	   0.00		 54.77   	 -15.26		
  7.02   	  1.83   	  6.45   	   0.00		 54.71   	 -20.35		
  7.02   	 -5.49   	  6.45   	   0.00		 54.63   	 -15.26		
  5.49   	-20.45   	  6.45   	   0.00		 54.57   	 -20.35		
  4.27   	-32.35   	  6.45   	   0.00		 54.49   	 -25.43		
  4.58   	-35.71   	  6.45   	   0.00		 54.38   	 -20.35		
  6.10   	-31.74   	  6.45   	   0.00		 54.30   	 -20.35		
  7.02   	-24.72   	  6.45   	   0.00		 54.22   	 -15.26		
  6.41   	-18.62   	  6.45   	   0.00		 54.16   	 -20.35		
  4.27   	-15.56   	  6.45   	   0.00		 54.08   	 -20.35		
  1.83   	-17.09   	  6.45   	   0.00		 54.00   	 -15.26		
  0.61   	-24.11   	  6.45   	   0.00		 53.94   	 -10.17		
  1.22   	-34.18   	  6.45   	   0.00		 53.90   	 -15.26		
  2.44   	-41.20   	  6.45   	   0.00		 53.83   	 -20.35		
  2.44   	-38.15   	  6.45   	   0.00		 53.75   	 -10.17		
  0.31   	-22.89   	  6.45   	   0.00		 53.71   	 -10.17		
 -3.05   	 -3.97   	  6.45   	   0.00		 53.67   	 -15.26		
 -5.19   	  4.88   	  6.45   	   0.00		 53.61   	 -15.26		
 -3.36   	 -3.97   	  6.45   	   0.00		 53.55   	 -20.35		
  1.22   	-26.55   	  6.45   	   0.00		 53.47   	 -15.26		
  6.10   	-47.61   	  6.45   	   0.00		 53.41   	 -20.35		
  8.24   	-51.88   	  6.45   	   0.00		 53.33   	 -25.43		
  7.93   	-36.62   	  6.45   	   0.00		 53.22   	 -25.43		
  7.02   	-12.82   	  6.45   	   0.00		 53.12   	 -20.35		
  7.32   	  3.97   	  6.45   	   0.00		 53.04   	 -15.26		
  8.24   	  4.27   	  6.45   	   0.00		 52.98   	 -15.26		
  8.24   	 -9.77   	  6.45   	   0.00		 52.92   	 -20.35		
  5.49   	-25.94   	  6.45   	   0.00		 52.84   	 -15.26		
  1.83   	-31.74   	  6.45   	   0.00		 52.78   	  -5.09		
 -0.61   	-25.94   	  6.45   	   0.00		 52.76   	  -5.09		
  0.61   	-15.56   	  6.45   	   0.00		 52.74   	 -10.17		
  4.27   	-10.38   	  6.45   	   0.00		 52.70   	 -10.17		
  8.24   	-15.87   	  6.45   	   0.00		 52.65   	 -15.26		
 10.38   	-27.77   	  6.45   	   0.00		 52.59   	  -5.09		
  9.46   	-35.40   	  6.45   	  -5.09		 52.57   	  -5.09		
  6.71   	-31.43   	  6.43   	   0.00		 52.55   	 -20.35		
  4.27   	-19.53   	  6.43   	   0.00		 52.47   	 -10.17		
  2.14   	 -7.93   	  6.43   	   0.00		 52.43   	 -15.26		
  0.92   	 -3.66   	  6.43   	   0.00		 52.37   	 -15.26		
 -0.31   	 -7.93   	  6.43   	   0.00		 52.31   	 -10.17		
 -1.22   	-17.40   	  6.43   	   5.09		 52.27   	 -15.26		
 -1.22   	-28.69   	  6.45   	   0.00		 52.21   	 -15.26		
 -0.31   	-40.89   	  6.45   	   0.00		 52.15   	  -5.09		
  0.00   	-51.57   	  6.45   	   0.00		 52.13   	 -10.17		
 -1.53   	-54.93   	  6.45   	   0.00		 52.09   	 -10.17		
 -4.58   	-47.61   	  6.45   	   0.00		 52.04   	  -5.09		
 -7.32   	-34.18   	  6.45   	   0.00		 52.02   	  -5.09		
 -8.85   	-24.72   	  6.45   	   0.00		 52.00(D)	   0.00		
 -8.85   	-25.63   	  6.45   	   0.00		 52.00   	   0.00		
 -8.24   	-34.79   	  6.45   	   0.00		 52.00   	   0.00		
 -8.24   	-43.03   	  6.45   	   0.00		 52.00   	   5.09		
 -8.85   	-41.50   	  6.45   	   0.00		 52.02   	   5.09		
 -9.46   	-30.21   	  6.45   	   0.00		 52.04   	  10.17		
 -9.16   	-15.87   	  6.45   	   0.00		 52.09   	  10.17		
 -8.24   	 -4.88   	  6.45   	   0.00		 52.13   	  10.17		
 -7.02   	  0.00   	  6.45   	   0.00		 52.17   	  10.17		
 -6.10   	 -0.61   	  6.45   	  -5.09		 52.21   	  10.17		
 -5.49   	 -3.97   	  6.43   	   0.00		 52.25   	  15.26		
 -5.49   	 -8.24   	  6.43   	   0.00		 52.31   	  20.35		
 -6.10   	-10.68   	  6.43   	   0.00		 52.39   	  25.43		
 -6.10   	-10.07   	  6.43   	   0.00		 52.49   	  25.43		
 -5.80   	 -8.24   	  6.43   	   0.00		 52.59   	  35.61		
 -5.19   	 -7.63   	  6.43   	   0.00		 52.74   	  35.61		
 -4.58   	-10.38   	  6.43   	   0.00		 52.88   	  35.61		
 -4.58   	-16.17   	  6.43   	   0.00		 53.02   	  35.61		
 -5.19   	-21.36   	  6.43   	   0.00		 53.16   	  35.61		
 -5.80   	-22.89   	  6.43   	   0.00		 53.31   	  25.43		
 -5.80   	-18.92   	  6.43   	   0.00		 53.41   	  35.61		
 -5.80   	-12.51   	  6.43   	   0.00		 53.55   	  30.52		
 -5.49   	 -7.32   	  6.43   	  -5.09		 53.67   	  30.52		
 -5.80   	 -6.10   	  6.41   	   0.00		 53.79   	  35.61		
 -6.71   	 -9.46   	  6.41   	   0.00		 53.94   	  40.69		
 -7.93   	-14.34   	  6.41   	   0.00		 54.10   	  35.61		
 -8.85   	-18.01   	  6.41   	   0.00		 54.24   	  25.43		
-10.07   	-18.92   	  6.41   	   5.09		 54.34   	  25.43		
-10.99   	-17.09   	  6.43   	   0.00		 54.45   	  20.35		
-11.90   	-13.73   	  6.43   	   0.00		 54.53   	  15.26		
-12.51   	-10.07   	  6.43   	   0.00		 54.59   	  15.26		
-12.21   	 -7.63   	  6.43   	   0.00		 54.65   	  15.26		
-11.60   	 -7.32   	  6.43   	   0.00		 54.71   	  25.43		
-10.99   	 -8.54   	  6.43   	   0.00		 54.81   	  30.52		
-10.99   	-10.99   	  6.43   	   0.00		 54.93   	  35.61		
-11.60   	-13.12   	  6.43   	   5.09		 55.08   	  45.78		
-11.90   	-14.34   	  6.45   	   0.00		 55.26   	  45.78		
-11.60   	-14.04   	  6.45   	   0.00		 55.44   	  45.78		
-10.99   	-13.12   	  6.45   	   0.00		 55.63   	  45.78		
-10.07   	-11.29   	  6.45   	   5.09		 55.81   	  40.69		
 -9.46   	-10.07   	  6.47   	   0.00		 55.97   	  30.52		
 -9.16   	 -9.77   	  6.47   	   0.00		 56.09   	  25.43		
 -8.85   	-10.38   	  6.47   	   0.00		 56.20   	  25.43		
 -8.85   	-10.99   	  6.47   	   0.00		 56.30   	  20.35		
 -9.16   	-10.38   	  6.47   	   0.00		 56.38   	  15.26		
 -9.77   	 -7.93   	  6.47   	   0.00		 56.44   	  20.35		
-10.07   	 -4.27   	  6.47   	   5.09		 56.52   	  20.35		
-10.07   	 -0.92   	  6.49   	   0.00		 56.60   	  10.17		
 -9.77   	  0.31   	  6.49   	   0.00		 56.64   	   5.09		
 -9.16   	 -0.31   	  6.49   	   0.00		 56.66   	   0.00		
 -8.54   	 -1.22   	  6.49   	   0.00		 56.66   	 -10.17		
 -7.63   	 -0.61   	  6.49   	   0.00		 56.62   	 -15.26		
 -7.02   	  2.44   	  6.49   	   0.00		 56.56   	 -20.35		
 -6.41   	  6.10   	  6.49   	   0.00		 56.48   	 -15.26		
 -6.71   	  8.54   	  6.49   	   0.00		 56.42   	 -15.26		
 -7.02   	  8.24   	  6.49   	   0.00		 56.36   	 -15.26		
 -7.93   	  5.19   	  6.49   	   0.00		 56.30   	 -20.35		
 -8.54   	  2.14   	  6.49   	   0.00		 56.22   	 -10.17		
 -9.16   	  1.53   	  6.49   	   0.00		 56.17   	 -20.35		
-10.38   	  3.36   	  6.49   	   5.09		 56.09   	 -25.43		
-11.60   	  6.10   	  6.51   	   0.00		 55.99   	 -30.52		
-12.21   	  7.63   	  6.51   	   0.00		 55.87   	 -25.43		
-12.21   	  7.32   	  6.51   	   0.00		 55.77   	 -20.35		
-11.29   	  6.71   	  6.51   	   0.00		 55.69   	 -20.35		
-10.07   	  7.02   	  6.51   	   0.00		 55.61   	 -15.26		
 -9.46   	  7.93   	  6.51   	   0.00		 55.54   	 -20.35		
 -9.46   	  7.93   	  6.51   	   0.00		 55.46   	 -10.17		
-10.38   	  6.10   	  6.51   	   0.00		 55.42   	 -10.17		
-11.29   	  3.05   	  6.51   	   0.00		 55.38   	  -5.09		
-11.90   	  1.83   	  6.51   	   0.00		 55.36   	  -5.09		
-11.60   	  2.44   	  6.51   	   0.00		 55.34   	   5.09		
-11.60   	  4.58   	  6.51   	   0.00		 55.36   	  10.17		
-11.60   	  4.88   	  6.51   	  -5.09		 55.40   	  10.17		
-12.21   	  3.05   	  6.49   	   0.00		 55.44   	  15.26		
-12.51   	  0.92   	  6.49   	   0.00		 55.50   	  15.26		
-12.51   	  0.61   	  6.49   	  -5.09		 55.56   	  15.26		
-11.90   	  2.14   	  6.47   	   0.00		 55.63   	   5.09		
-11.29   	  4.27   	  6.47   	   0.00		 55.65   	   0.00		
-10.68   	  5.19   	  6.47   	  -5.09		 55.65   	  -5.09		
-10.68   	  4.88   	  6.45   	   0.00		 55.63   	  -5.09		
-10.99   	  4.58   	  6.45   	  -5.09		 55.61   	  -5.09		
-11.60   	  4.27   	  6.43   	   0.00		 55.58   	 -15.26		
-12.21   	  3.66   	  6.43   	   0.00		 55.52   	 -15.26		
-11.90   	  2.14   	  6.43   	   0.00		 55.46   	 -10.17		
-10.99   	  0.31   	  6.43   	  -5.09		 55.42   	 -20.35		
 -9.77   	 -2.14   	  6.41   	   0.00		 55.34   	 -20.35		
 -8.54   	 -4.58   	  6.41   	   0.00		 55.26   	 -15.26		
 -8.24   	 -6.71   	  6.41   	   0.00		 55.20   	 -15.26		
 -8.24   	 -7.32   	  6.41   	   0.00		 55.14   	 -15.26		
 -8.85   	 -6.10   	  6.41   	   5.09		 55.08   	 -10.17		
 -8.85   	 -3.36   	  6.43   	   0.00		 55.04   	   0.00		
 -8.24   	 -1.83   	  6.43   	   0.00		 55.04   	  -5.09		
 -7.32   	 -3.36   	  6.43   	   0.00		 55.02   	   0.00		
 -6.71   	 -7.02   	  6.43   	   0.00		 55.02   	   0.00		
 -6.71   	 -9.77   	  6.43   	  -5.09		 55.02   	  -5.09		
 -7.93   	 -8.85   	  6.41   	   0.00		 54.99   	   0.00		
 -9.77   	 -4.58   	  6.41   	   0.00		 54.99   	   0.00		
-11.29   	 -1.53   	  6.41   	   0.00		 54.99   	   0.00		
-11.60   	 -2.75   	  6.41   	   0.00		 54.99   	  -5.09		
-10.99   	 -7.02   	  6.41   	   0.00		 54.97   	  -5.09		
-10.68   	-10.38   	  6.41   	   0.00		 54.95   	  -5.09		
-10.99   	 -8.85   	  6.41   	  -5.09		 54.93   	  -5.09		
-11.60   	 -2.44   	  6.39   	   0.00		 54.91   	 -15.26		
-11.60   	  5.19   	  6.39   	   0.00		 54.85   	 -10.17		
-10.38   	  9.77   	  6.39   	  -5.09		 54.81   	  -5.09		
 -8.24   	  9.77   	  6.37   	   0.00		 54.79   	  -5.09		
 -6.71   	  5.49   	  6.37   	  -5.09		 54.77   	  -5.09		
 -6.41   	 -0.92   	  6.35   	   0.00		 54.75   	   0.00		
 -7.32   	 -7.02   	  6.35   	  -5.09		 54.75   	   5.09		
 -8.24   	-10.68   	  6.33   	   0.00		 54.77   	   0.00		
 -8.24   	-10.07   	  6.33   	   0.00		 54.77   	  10.17		
 -6.71   	 -5.80   	  6.33   	   0.00		 54.81   	   5.09		
 -5.19   	  0.31   	  6.33   	  -5.09		 54.83   	  10.17		
 -4.58   	  4.88   	  6.31   	   0.00		 54.87   	  10.17		
 -4.88   	  5.19   	  6.31   	   0.00		 54.91   	  15.26		
 -5.49   	  1.83   	  6.31   	   0.00		 54.97   	  10.17		
 -5.80   	 -3.66   	  6.31   	   0.00		 55.02   	   5.09		
 -5.80   	 -8.24   	  6.31   	   5.09		 55.04   	   5.09		
 -5.49   	-10.68   	  6.33   	   0.00		 55.06   	   0.00		
 -5.19   	 -9.46   	  6.33   	   0.00		 55.06   	  -5.09		
 -5.19   	 -5.19   	  6.33   	   5.09		 55.04   	   0.00		
 -5.49   	  0.92   	  6.35   	   0.00		 55.04   	   0.00		
 -5.49   	  5.80   	  6.35   	   5.09		 55.04   	   5.09		
 -5.49   	  7.63   	  6.37   	   0.00		 55.06   	  10.17		
 -5.49   	  7.02   	  6.37   	   5.09		 55.10   	  15.26		
 -5.80   	  5.19   	  6.39   	   0.00		 55.16   	  10.17		
 -6.10   	  4.27   	  6.39   	   5.09		 55.20   	  10.17		
 -6.71   	  4.27   	  6.41   	   5.09		 55.24   	   5.09		
 -7.63   	  4.58   	  6.43   	   5.09		 55.26   	   5.09		
 -8.24   	  4.27   	  6.45   	   0.00		 55.28   	  -5.09		
 -8.85   	  2.75   	  6.45   	   5.09		 55.26   	  -5.09		
 -8.85   	  0.31   	  6.47   	   5.09		 55.24   	 -15.26		
 -8.24   	 -3.05   	  6.49   	   5.09		 55.18   	 -15.26		
 -7.63   	 -6.10   	  6.51   	   5.09		 55.12   	 -15.26		
 -7.32   	 -7.63   	  6.53   	   0.00		 55.06   	 -15.26		
 -7.63   	 -6.10   	  6.53   	   5.09		 54.99   	 -15.26		
 -7.93   	 -3.36   	  6.55   	   5.09		 54.93   	 -15.26		
 -8.24   	 -2.75   	  6.57   	   0.00		 54.87   	 -25.43		
 -7.63   	 -6.10   	  6.57   	   5.09		 54.77   	 -25.43		
 -7.02   	-12.51   	  6.59   	   0.00		 54.67   	 -20.35		
 -6.41   	-18.31   	  6.59   	   0.00		 54.59   	 -10.17		
 -6.41   	-20.14   	  6.59   	   0.00		 54.55   	 -15.26		
 -7.02   	-16.78   	  6.59   	   0.00		 54.49   	  -5.09		
 -7.63   	-10.38   	  6.59   	   0.00		 54.47   	   0.00		
 -7.32   	 -3.66   	  6.59   	   0.00		 54.47   	   0.00		
 -6.41   	  1.83   	  6.59   	   0.00		 54.47   	  -5.09		
 -4.58   	  4.27   	  6.59   	   0.00		 54.45   	 -10.17		
 -2.75   	  2.75   	  6.59   	  -5.09		 54.40   	 -15.26		
 -2.44   	 -1.83   	  6.57   	   0.00		 54.34   	 -15.26		
 -3.66   	 -6.41   	  6.57   	  -5.09		 54.28   	  -5.09		
 -6.10   	 -7.02   	  6.55   	   0.00		 54.26   	  -5.09		
 -8.85   	 -1.22   	  6.55   	  -5.09		 54.24   	   5.09		
-10.38   	  7.93   	  6.53   	  -5.09		 54.26   	  10.17		
-10.07   	 16.17   	  6.51   	  -5.09		 54.30   	  20.35		
 -8.54   	 18.92   	  6.49   	   0.00		 54.38   	  25.43		
 -6.71   	 16.17   	  6.49   	  -5.09		 54.49   	  25.43		
 -5.49   	 10.07   	  6.47   	  -5.09		 54.59   	  25.43		
 -5.80   	  3.36   	  6.45   	  -5.09		 54.69   	  25.43		
 -7.63   	 -3.36   	  6.43   	   0.00		 54.79   	  20.35		
 -9.77   	-10.99   	  6.43   	  -5.09		 54.87   	  10.17		
-11.29   	-18.92   	  6.41   	  -5.09		 54.91   	   0.00		
-11.29   	-24.41   	  6.39   	   0.00		 54.91   	   0.00		
-10.07   	-25.94   	  6.39   	   0.00		 54.91   	   0.00		
 -8.54   	-23.19   	  6.39   	  -5.09		 54.91   	  -5.09		
 -7.93   	-18.01   	  6.37   	   0.00		 54.89   	 -10.17		
 -8.24   	-12.21   	  6.37   	   0.00		 54.85   	 -15.26		
 -9.46   	 -6.41   	  6.37   	   0.00		 54.79   	 -15.26		
-10.38   	 -2.14   	  6.37   	   0.00		 54.73   	 -10.17		
-11.29   	 -0.31   	  6.37   	   0.00		 54.69   	 -15.26		
-11.60   	 -1.83   	  6.37   	   0.00		 54.63   	 -10.17		
-11.29   	 -4.58   	  6.37   	   0.00		 54.59   	   0.00		
-10.99   	 -6.41   	  6.37   	   5.09		 54.59   	   5.09		
-10.07   	 -4.88   	  6.39   	   0.00		 54.61   	   5.09		
-10.07   	 -1.53   	  6.39   	   5.09		 54.63   	  10.17		
-10.38   	 -1.22   	  6.41   	   0.00		 54.67   	  15.26		
-10.68   	 -7.63   	  6.41   	   5.09		 54.73   	  10.17		
-10.99   	-19.53   	  6.43   	   0.00		 54.77   	   5.09		
-10.38   	-30.82   	  6.43   	   5.09		 54.79   	   0.00		
 -9.16   	-34.18   	  6.45   	   0.00		 54.79   	  -5.09		
 -8.24   	-26.55   	  6.45   	   5.09		 54.77   	   0.00		
 -7.32   	-12.21   	  6.47   	   0.00		 54.77   	  -5.09		
 -7.02   	  0.31   	  6.47   	   0.00		 54.75   	  -5.09		
 -7.02   	  3.97   	  6.47   	   5.09		 54.73   	 -15.26		
 -7.32   	 -3.05   	  6.49   	   0.00		 54.67   	  -5.09		
 -7.32   	-17.40   	  6.49   	   0.00		 54.65   	  -5.09		
 -6.71   	-30.52   	  6.49   	   0.00		 54.63   	 -10.17		
 -6.10   	-34.79   	  6.49   	   0.00		 54.59   	 -10.17		
 -6.41   	-27.77   	  6.49   	   0.00		 54.55   	  -5.09		
 -7.93   	-12.82   	  6.49   	   0.00		 54.53   	   0.00		
 -8.85   	  2.14   	  6.49   	   0.00		 54.53   	   5.09		
 -7.32   	 12.82   	  6.49   	   0.00		 54.55   	   5.09		
 -2.44   	 25.02   	  6.49   	   0.00		 54.57   	  10.17		
  3.66   	 54.93   	  6.49   	  -5.09		 54.61   	  15.26		
  5.19   	124.82   	  6.47   	   0.00		 54.67   	  15.26		
 -1.83   	254.52   	  6.47   	   0.00		 54.73   	  20.35		
-14.34   	454.10   	  6.47   	   0.00		 54.81   	  20.35		
-21.06   	710.75   	  6.47   	  -5.09		 54.89   	  20.35		
 -9.46   	980.84   	  6.45   	   0.00		 54.97   	  10.17		
 21.36   	1193.24   	  6.45   	   0.00		 55.02   	  15.26		
 57.07   	1278.08(R)	  6.45   	   0.00		 55.08   	   5.09		
 75.68   	1210.02   	  6.45   	   0.00		 55.10   	   0.00		
 61.34   	1024.78   	  6.45   	   0.00		 55.10   	   5.09		
 18.01   	799.26   	  6.45   	  -5.09		 55.12   	  -5.09		
-36.93   	602.72   	  6.43   	   0.00		 55.10   	  -5.09		
-83.92   	459.90   	  6.43   	   0.00		 55.08   	 -15.26		
-113.22   	356.45   	  6.43   	   5.09		 55.02   	 -20.35		
-123.60   	271.00   	  6.45   	   0.00		 54.93   	 -25.43		
-118.41   	194.40   	  6.45   	   0.00		 54.83   	 -25.43		
-100.40   	127.87   	  6.45   	   0.00		 54.73   	 -25.43		
-72.94   	 72.02   	  6.45   	   0.00		 54.63   	 -25.43		
-42.72   	 21.06   	  6.45   	   0.00		 54.53   	 -15.26		
-18.92   	-27.47   	  6.45   	   0.00		 54.47   	   5.09		
 -7.02   	-67.44   	  6.45   	   0.00		 54.49   	  10.17		
 -5.49   	-90.03   	  6.45   	   0.00		 54.53   	  25.43		
 -8.54   	-94.30   	  6.45   	   0.00		 54.63   	  35.61		
-10.38   	-89.42   	  6.45   	   0.00		 54.77   	  50.86		
 -8.85   	-86.36   	  6.45   	   0.00		 54.97   	  66.12		
 -5.49   	-88.81   	  6.45   	   0.00		 55.24   	  91.56		
 -2.44   	-93.69   	  6.45   	   0.00		 55.61   	 152.59		
 -1.22   	-97.05   	  6.45   	   0.00		 56.22   	 269.58		
 -1.53   	-99.18   	  6.45   	   0.00		 57.29   	 422.18		
 -1.83   	-101.32   	  6.45   	   0.00		 58.98   	 635.81		
 -2.14   	-104.06   	  6.45   	   0.00		 61.53   	 890.13		
 -2.14   	-103.76   	  6.45   	  -5.09		 65.09   	1190.23		
 -1.83   	-97.35   	  6.43   	   0.00		 69.85   	1444.55		
 -1.53   	-87.89   	  6.43   	   0.00		 75.63   	1607.32		
 -1.22   	-81.79   	  6.43   	   0.00		 82.05   	1714.13		
 -1.22   	-83.92   	  6.43   	   0.00		 88.91   	1688.70		
 -1.22   	-92.47   	  6.43   	   0.00		 95.67   	1353.00		
 -1.53   	-101.32   	  6.43   	   0.00		101.08   	 864.70		
 -1.83   	-106.20   	  6.43   	   0.00		104.54   	 473.04		
 -2.44   	-108.03   	  6.43   	   5.09		106.43   	 198.37		
 -2.44   	-111.08   	  6.45   	   0.00		107.22   	-132.25		
 -2.14   	-117.80   	  6.45   	   0.00		106.69   	-427.26		
 -1.53   	-124.82   	  6.45   	  -5.09		104.98   	-473.04		
 -0.31   	-126.34   	  6.43   	   0.00		103.09   	-228.89		
  0.61   	-118.41   	  6.43   	   0.00		102.18   	 239.06		
  1.83   	-105.59   	  6.43   	   0.00		103.13   	 859.61		
  3.36   	-94.91   	  6.43   	   0.00		106.57   	1317.39		
  4.27   	-91.86   	  6.43   	   0.00		111.84   	1500.50		
  5.19   	-94.91   	  6.43   	   0.00		117.84   	1429.29		
  5.80   	-98.27   	  6.43   	   0.00		123.56   	1088.50		
  5.80   	-95.83   	  6.43   	   0.00		127.91   	 630.72		
  5.80   	-86.06   	  6.43   	   0.00		130.44   	 122.07		
  6.10   	-73.24   	  6.43   	   0.00		130.93   	-305.19		
  7.32   	-61.95   	  6.43   	   5.09		129.70   	-534.08		
  9.46   	-54.63   	  6.45   	   0.00		127.57   	-630.72		
 12.21   	-50.05   	  6.45   	   0.00		125.05   	-620.55		
 15.26   	-47.00   	  6.45   	   0.00		122.56   	-447.61		
 18.62   	-44.25   	  6.45   	   0.00		120.77   	-152.59		
 21.36   	-42.11   	  6.45   	   0.00		120.16   	 127.16		
 24.11   	-39.67   	  6.45   	   0.00		120.67   	 350.97		
 25.94   	-35.71   	  6.45   	   0.00		122.07   	 559.51		
 27.77   	-28.08   	  6.45   	   5.09		124.31   	 691.76		
 29.60   	-17.09   	  6.47   	   0.00		127.08   	 686.67		
 31.74   	 -4.27   	  6.47   	   0.00		129.83   	 508.65		
 34.18   	  8.54   	  6.47   	   0.00		131.86   	 269.58		
 36.93   	 20.75   	  6.47   	   0.00		132.94   	  50.86		
 39.98   	 32.96   	  6.47   	   0.00		133.14(S)	-157.68		
 43.33   	 45.78   	  6.47   	   0.00		132.51   	-335.71		
 47.61   	 59.51   	  6.47   	   0.00		131.17   	-432.35		
 51.88   	 73.55   	  6.47   	   0.00		129.44   	-432.35		
 55.85   	 86.36   	  6.47   	   0.00		127.71   	-371.31		
 58.59   	 96.13   	  6.47   	   0.00		126.23   	-279.75		
 60.12   	102.84   	  6.47   	   0.00		125.11   	-172.94		
 61.04   	107.42   	  6.47   	   0.00		124.41   	 -76.30		
 62.56   	111.69   	  6.47   	   0.00		124.11   	 -25.43		
