  I     	  II     	  CH1     	  CH1'		  LV     	  LV'		
186.16   	769.96   	  6.92   	   0.00		 98.90   	  55.95		
194.40   	784.00   	  6.92   	   0.00		 99.12   	  71.21		
202.64   	794.98   	  6.92   	   0.00		 99.41   	  30.52		
210.57   	804.44   	  6.92   	   0.00		 99.53   	 -66.12		
216.98   	812.99   	  6.92   	   0.00		 99.27   	-188.20		
222.17   	819.09   	  6.92   	   0.00		 98.51   	-310.27		
225.83   	820.01   	  6.92   	   0.00		 97.27   	-427.26		
227.66   	812.07   	  6.92   	   5.09		 95.56   	-498.47		
228.58   	790.71   	  6.94   	   0.00		 93.57   	-518.82		
228.27   	756.84   	  6.94   	   0.00		 91.50   	-498.47		
227.05   	715.94   	  6.94   	   0.00		 89.50   	-503.56		
224.61   	676.88   	  6.94   	   0.00		 87.49   	-523.90		
220.64   	645.45   	  6.94   	   0.00		 85.39   	-559.51		
215.15   	620.12   	  6.94   	   0.00		 83.15   	-579.86		
208.44   	594.79   	  6.94   	   0.00		 80.83   	-559.51		
201.42   	562.74   	  6.94   	   0.00		 78.60   	-457.78		
194.40   	523.68   	  6.94   	  -5.09		 76.76   	-279.75		
186.77   	481.26   	  6.92   	   0.00		 75.65   	-147.51		
177.61   	440.98   	  6.92   	   0.00		 75.06   	-127.16		
166.63   	407.41   	  6.92   	   0.00		 74.55   	-233.98		
154.42   	379.64   	  6.92   	  -5.09		 73.61   	-447.61		
141.60   	353.39   	  6.90   	   0.00		 71.82   	-610.37		
128.78   	324.40   	  6.90   	  -5.09		 69.38   	-569.68		
116.27   	289.61   	  6.88   	   0.00		 67.10   	-427.26		
103.76   	250.55   	  6.88   	  -5.09		 65.39   	-676.50		
 91.25   	211.49   	  6.86   	   0.00		 62.69   	-1068.15		
 79.35   	177.00   	  6.86   	  -5.09		 58.41   	-1586.97		
 68.36   	149.23   	  6.84   	   0.00		 52.06   	-2207.52		
 58.29   	126.65   	  6.84   	  -5.09		 43.23   	-2283.82		
 49.13   	107.12   	  6.82   	   0.00		 34.10   	-1637.84		
 40.28   	 89.11   	  6.82   	   0.00		 27.55   	-798.57		
 31.74   	 69.27   	  6.82   	  -5.09		 24.35   	 -71.21		
 23.50   	 46.69   	  6.80   	   0.00		 24.07   	 508.65		
 15.56   	 21.67   	  6.80   	   0.00		 26.10   	 803.66		
  8.24   	 -3.97   	  6.80   	   0.00		 29.32   	 864.70		
  2.14   	-26.25   	  6.80   	   0.00		 32.78   	 798.57		
 -2.75   	-42.42   	  6.80   	   0.00		 35.97   	 539.16		
 -6.10   	-51.27   	  6.80   	   0.00		 38.13   	  91.56		
 -8.85   	-55.24   	  6.80   	   5.09		 38.49   	-417.09		
-11.29   	-56.76   	  6.82   	   0.00		 36.83   	-844.35		
-13.73   	-59.20   	  6.82   	   0.00		 33.45   	-1068.15		
-16.48   	-64.70   	  6.82   	   5.09		 29.18   	-1088.50		
-18.92   	-74.46   	  6.84   	   0.00		 24.82   	-920.65		
-21.06   	-86.98   	  6.84   	   5.09		 21.14   	-620.55		
-21.67   	-100.40   	  6.86   	   0.00		 18.66   	-259.41		
-21.06   	-111.39   	  6.86   	   5.09		 17.62   	  35.61		
-19.53   	-118.10   	  6.88   	   0.00		 17.76   	 152.59		
-17.40   	-119.93   	  6.88   	   5.09		 18.37   	  35.61		
-15.87   	-119.02   	  6.90   	   5.09		 18.51   	-116.99		
-15.87   	-119.02   	  6.92   	   0.00		 18.05   	 -45.78		
-17.09   	-122.07   	  6.92   	   5.09		 17.86   	 172.94		
-18.62   	-125.73   	  6.94   	   5.09		 18.56   	 366.22		
-19.23   	-125.12   	  6.96   	   0.00		 20.02   	 467.95		
-18.62   	-118.41   	  6.96   	   5.09		 21.89   	 462.87		
-17.09   	-108.95   	  6.98   	   0.00		 23.74   	 345.88		
-15.56   	-103.76   	  6.98   	   5.09		 25.13   	 178.03		
-14.04   	-107.12   	  7.00   	   0.00		 25.84   	  45.78		
-13.43   	-116.88   	  7.00   	   0.00		 26.02   	 -71.21		
-14.04   	-126.65   	  7.00   	   5.09		 25.74   	-254.32		
-15.87   	-132.45   	  7.02   	   0.00		 24.72   	-350.97		
-18.62   	-133.97   	  7.02   	   0.00		 23.32   	-325.53		
-21.36   	-133.67   	  7.02   	   0.00		 22.01   	-274.67		
-22.89   	-133.36   	  7.02   	  -5.09		 20.92   	-208.54		
-23.50   	-134.89   	  7.00   	   0.00		 20.08   	 -71.21		
-24.11   	-139.16   	  7.00   	   0.00		 19.80   	 111.90		
-25.02   	-146.79   	  7.00   	  -5.09		 20.24   	 269.58		
-25.33   	-155.94   	  6.98   	   0.00		 21.32   	 391.66		
-25.33   	-163.27   	  6.98   	  -5.09		 22.89   	 473.04		
-24.41   	-164.18   	  6.96   	  -5.09		 24.78   	 503.56		
-23.80   	-156.56   	  6.94   	  -5.09		 26.80   	 437.43		
-24.72   	-143.74   	  6.92   	   0.00		 28.55   	 279.75		
-26.86   	-133.67   	  6.92   	  -5.09		 29.66   	  50.86		
-29.91   	-132.14   	  6.90   	  -5.09		 29.87   	-157.68		
-32.04   	-140.38   	  6.88   	  -5.09		 29.24   	-325.53		
-33.26   	-153.50   	  6.86   	  -5.09		 27.93   	-452.69		
-33.26   	-163.27   	  6.84   	  -5.09		 26.12   	-473.04		
-33.57   	-164.18   	  6.82   	  -5.09		 24.23   	-356.05		
-34.18   	-155.94   	  6.80   	   0.00		 22.81   	-213.63		
-35.40   	-144.96   	  6.80   	  -5.09		 21.95   	 -86.47		
-37.23   	-139.16   	  6.78   	   0.00		 21.61   	  61.04		
-38.76   	-141.60   	  6.78   	  -5.09		 21.85   	 172.94		
-39.37   	-151.06   	  6.75   	   0.00		 22.54   	 218.72		
-39.37   	-161.74   	  6.75   	   0.00		 23.42   	 233.98		
-38.76   	-167.54   	  6.75   	   0.00		 24.35   	 193.29		
-37.54   	-167.24   	  6.75   	   0.00		 25.13   	  91.56		
-36.32   	-163.88   	  6.75   	   0.00		 25.49   	 -20.35		
-35.10   	-161.74   	  6.75   	   0.00		 25.41   	 -86.47		
-34.18   	-161.74   	  6.75   	   5.09		 25.07   	  -5.09		
-34.18   	-162.05   	  6.78   	   0.00		 25.05   	 208.54		
-34.79   	-159.91   	  6.78   	   5.09		 25.88   	 330.62		
-35.10   	-154.42   	  6.80   	   0.00		 27.20   	 269.58		
-34.79   	-148.62   	  6.80   	   5.09		 28.28   	 -96.64		
-33.87   	-146.18   	  6.82   	   5.09		 27.89   	-605.29		
-32.35   	-150.76   	  6.84   	   5.09		 25.47   	-696.84		
-31.43   	-161.44   	  6.86   	   0.00		 22.69   	-356.05		
-30.82   	-173.34   	  6.86   	   5.09		 21.26   	  35.61		
-30.82   	-179.75   	  6.88   	   5.09		 21.40   	 284.84		
-31.13   	-175.78   	  6.90   	   0.00		 22.54   	 386.57		
-31.43   	-162.35   	  6.90   	   5.09		 24.09   	 406.92		
-31.74   	-145.57   	  6.92   	   0.00		 25.72   	 127.16		
-32.04   	-134.58   	  6.92   	   0.00		 26.23   	-437.43		
-32.35   	-132.75   	  6.92   	   0.00		 24.48   	-534.08		
-32.65   	-137.33   	  6.92   	   0.00		 22.34   	-264.50		
-33.26   	-141.60   	  6.92   	   0.00		 21.28   	-127.16		
-34.18   	-141.30   	  6.92   	  -5.09		 20.77   	 162.77		
-35.10   	-137.33   	  6.90   	  -5.09		 21.42   	 473.04		
-35.10   	-133.36   	  6.88   	  -5.09		 23.32   	 437.43		
-34.79   	-132.14   	  6.86   	  -5.09		 25.07   	 289.93		
-33.87   	-134.89   	  6.84   	  -5.09		 26.23   	 183.11		
-32.65   	-140.38   	  6.82   	  -5.09		 26.96   	 167.85		
-32.35   	-147.09   	  6.80   	  -5.09		 27.63   	 111.90		
-32.35   	-151.98   	  6.78   	  -5.09		 28.08   	 -66.12		
-32.96   	-151.98   	  6.75   	  -5.09		 27.81   	-239.06		
-33.26   	-146.48   	  6.73   	  -5.09		 26.86   	-300.10		
-33.57   	-137.63   	  6.71   	   0.00		 25.66   	-264.50		
-33.57   	-130.00   	  6.71   	  -5.09		 24.60   	-193.29		
-33.87   	-126.65   	  6.69   	   0.00		 23.82   	-157.68		
-34.79   	-127.87   	  6.69   	   0.00		 23.19   	 -91.56		
-35.40   	-130.00   	  6.69   	   0.00		 22.83   	  81.38		
-35.71   	-130.00   	  6.69   	   5.09		 23.15   	 269.58		
-35.40   	-126.34   	  6.71   	   0.00		 24.23   	 289.93		
-35.10   	-119.63   	  6.71   	   5.09		 25.39   	 295.01		
-34.79   	-112.61   	  6.73   	   5.09		 26.57   	 330.62		
-34.79   	-106.81   	  6.75   	   5.09		 27.89   	 310.27		
-33.57   	-104.06   	  6.78   	   5.09		 29.14   	 233.98		
-31.43   	-104.68   	  6.80   	   5.09		 30.07   	 116.99		
-28.08   	-108.64   	  6.82   	  10.17		 30.54   	  15.26		
-25.33   	-113.53   	  6.86   	   5.09		 30.60   	 -61.04		
-23.80   	-118.10   	  6.88   	   5.09		 30.36   	-203.46		
-23.19   	-121.46   	  6.90   	  10.17		 29.54   	-381.48		
-22.89   	-123.29   	  6.94   	  10.17		 28.02   	-422.18		
-21.97   	-124.82   	  6.98   	   5.09		 26.33   	-366.22		
-20.45   	-126.65   	  7.00   	   5.09		 24.86   	-254.32		
-19.53   	-129.39   	  7.02   	  10.17		 23.85   	-137.33		
-19.84   	-132.14   	  7.06   	   5.09		 23.30   	 -76.30		
-21.67   	-134.58   	  7.08   	   5.09		 22.99   	-147.51		
-24.41   	-135.80   	  7.10   	   5.09		 22.40   	-142.42		
-26.86   	-135.80   	  7.12   	   5.09		 21.83   	  50.86		
-28.38   	-135.19   	  7.14   	   5.09		 22.03   	 223.80		
-28.69   	-132.75   	  7.16   	   0.00		 22.93   	 223.80		
-28.69   	-128.78   	  7.16   	   0.00		 23.82   	 157.68		
-28.38   	-124.21   	  7.16   	   0.00		 24.46   	  91.56		
-28.08   	-120.85   	  7.16   	   0.00		 24.82   	  45.78		
-28.08   	-121.77   	  7.16   	   0.00		 25.00   	 -76.30		
-27.77   	-127.56   	  7.16   	  -5.09		 24.70   	-213.63		
-26.86   	-136.11   	  7.14   	  -5.09		 23.85   	-223.80		
-25.94   	-142.52   	  7.12   	  -5.09		 22.95   	-208.54		
-25.33   	-143.43   	  7.10   	  -5.09		 22.12   	-203.46		
-25.02   	-138.24   	  7.08   	  -5.09		 21.30   	-152.59		
-24.11   	-130.00   	  7.06   	  -5.09		 20.69   	 -81.38		
-23.19   	-123.90   	  7.04   	  -5.09		 20.37   	  76.30		
-22.89   	-122.99   	  7.02   	 -10.17		 20.67   	 249.24		
-23.80   	-126.04   	  6.98   	  -5.09		 21.67   	 193.29		
-25.63   	-130.31   	  6.96   	 -10.17		 22.44   	  15.26		
-27.77   	-132.75   	  6.92   	 -10.17		 22.50   	 -15.26		
-28.69   	-132.14   	  6.88   	  -5.09		 22.44   	 -30.52		
-28.08   	-128.48   	  6.86   	  -5.09		 22.32   	-178.03		
-26.55   	-123.29   	  6.84   	 -10.17		 21.61   	-340.79		
-24.72   	-116.88   	  6.80   	  -5.09		 20.24   	-366.22		
-22.58   	-111.39   	  6.78   	   0.00		 18.78   	-279.75		
-21.06   	-107.73   	  6.78   	  -5.09		 17.66   	-183.11		
-20.14   	-107.42   	  6.75   	  -5.09		 16.93   	 -81.38		
-19.84   	-109.56   	  6.73   	   0.00		 16.60   	  71.21		
-19.23   	-112.92   	  6.73   	  -5.09		 16.89   	 127.16		
-18.92   	-114.44   	  6.71   	   0.00		 17.40   	  55.95		
-18.62   	-113.53   	  6.71   	   0.00		 17.62   	 101.73		
-17.70   	-110.47   	  6.71   	   5.09		 18.03   	 264.50		
-16.78   	-107.12   	  6.73   	   0.00		 19.08   	 406.92		
-14.95   	-104.06   	  6.73   	   0.00		 20.71   	 371.31		
-12.82   	-101.32   	  6.73   	   5.09		 22.20   	  35.61		
-10.07   	-97.96   	  6.75   	   5.09		 22.34   	-249.24		
 -8.24   	-93.99   	  6.78   	   0.00		 21.34   	-198.37		
 -7.93   	-91.25   	  6.78   	   5.09		 20.55   	-106.82		
 -9.46   	-90.94   	  6.80   	   5.09		 20.12   	-132.25		
-11.29   	-93.38   	  6.82   	   5.09		 19.59   	-157.68		
-12.82   	-96.74   	  6.84   	   5.09		 18.96   	 -55.95		
-13.43   	-97.05   	  6.86   	   5.09		 18.74   	  76.30		
-13.43   	-93.08   	  6.88   	   5.09		 19.04   	 101.73		
-13.73   	-86.36   	  6.90   	   5.09		 19.45   	 116.99		
-13.73   	-81.48   	  6.92   	   0.00		 19.92   	  55.95		
-13.73   	-83.01   	  6.92   	   5.09		 20.14   	 -45.78		
-14.34   	-89.42   	  6.94   	   0.00		 19.96   	 -76.30		
-15.56   	-95.83   	  6.94   	   5.09		 19.65   	-142.42		
-17.70   	-97.96   	  6.96   	   0.00		 19.08   	-198.37		
-18.92   	-94.60   	  6.96   	   0.00		 18.29   	-167.85		
-19.23   	-88.50   	  6.96   	   5.09		 17.62   	-218.72		
-18.01   	-83.01   	  6.98   	   0.00		 16.74   	-422.18		
-16.48   	-78.13   	  6.98   	   0.00		 15.06   	-778.23		
-15.87   	-72.02   	  6.98   	  -5.09		 11.94   	-671.41		
-16.48   	-64.70   	  6.96   	   0.00		  9.26   	  10.17		
-17.40   	-59.51   	  6.96   	   0.00		  9.30   	 513.73		
-18.62   	-61.04   	  6.96   	   0.00		 11.35   	 727.36		
-18.31   	-69.58   	  6.96   	  -5.09		 14.26   	 890.13		
-16.78   	-79.96   	  6.94   	   0.00		 17.82   	 900.30		
-14.34   	-84.84   	  6.94   	  -5.09		 21.42   	 544.25		
-11.90   	-80.26   	  6.92   	  -5.09		 23.60   	  81.38		
-10.99   	-69.27   	  6.90   	   0.00		 23.93   	-208.54		
-11.90   	-58.59   	  6.90   	  -5.09		 23.09   	-452.69		
-13.73   	-54.63   	  6.88   	  -5.09		 21.28   	-727.36		
-14.95   	-57.07   	  6.86   	   0.00		 18.37   	-808.75		
-14.95   	-62.26   	  6.86   	  -5.09		 15.14   	-544.25		
-14.34   	-63.48   	  6.84   	  -5.09		 12.96   	-254.32		
-14.04   	-57.37   	  6.82   	  -5.09		 11.94   	-111.90		
-13.43   	-43.95   	  6.80   	   0.00		 11.50   	 101.73		
-11.60   	-28.69   	  6.80   	  -5.09		 11.90   	 386.57		
 -9.16   	-18.92   	  6.78   	   0.00		 13.45   	 483.21		
 -6.41   	-18.62   	  6.78   	   0.00		 15.38   	 625.63		
 -4.58   	-26.86   	  6.78   	  -5.09		 17.88   	 834.18		
 -3.66   	-37.54   	  6.75   	   0.00		 21.22   	 696.84		
 -3.36   	-43.33   	  6.75   	   0.00		 24.01   	 310.27		
 -2.44   	-41.81   	  6.75   	   0.00		 25.25   	 -20.35		
 -0.92   	-35.40   	  6.75   	   5.09		 25.17   	-386.57		
  0.31   	-28.38   	  6.78   	   0.00		 23.62   	-676.50		
  1.83   	-23.80   	  6.78   	   0.00		 20.92   	-671.41		
  3.05   	-22.28   	  6.78   	   5.09		 18.23   	-452.69		
  3.66   	-23.19   	  6.80   	   0.00		 16.42   	-172.94		
  2.44   	-23.50   	  6.80   	   5.09		 15.73   	 -55.95		
  0.00   	-22.58   	  6.82   	   5.09		 15.50   	  71.21		
 -2.44   	-20.45   	  6.84   	   5.09		 15.79   	 162.77		
 -2.44   	-19.23   	  6.86   	   0.00		 16.44   	 193.29		
  0.31   	-21.06   	  6.86   	   5.09		 17.21   	 172.94		
  2.75   	-26.25   	  6.88   	   5.09		 17.90   	  91.56		
  3.05   	-30.82   	  6.90   	   5.09		 18.27   	  25.43		
  0.00   	-32.04   	  6.92   	   5.09		 18.37   	  76.30		
 -4.27   	-29.30   	  6.94   	   5.09		 18.68   	 101.73		
 -7.02   	-25.33   	  6.96   	   5.09		 19.08   	 -91.56		
 -6.71   	-24.11   	  6.98   	   0.00		 18.72   	-310.27		
 -4.58   	-25.94   	  6.98   	   5.09		 17.48   	-345.88		
 -2.14   	-28.99   	  7.00   	   5.09		 16.09   	-203.46		
 -0.92   	-30.21   	  7.02   	   0.00		 15.28   	-101.73		
 -1.22   	-29.60   	  7.02   	   0.00		 14.87   	 -91.56		
 -3.05   	-27.77   	  7.02   	   0.00		 14.51   	  10.17		
 -6.10   	-25.63   	  7.02   	   0.00		 14.55   	 193.29		
 -8.24   	-23.50   	  7.02   	  -5.09		 15.32   	 473.04		
 -8.54   	-21.67   	  7.00   	   0.00		 17.21   	 696.84		
 -7.02   	-20.45   	  7.00   	  -5.09		 20.00   	 605.29		
 -4.88   	-21.97   	  6.98   	  -5.09		 22.42   	 350.97		
 -3.97   	-26.86   	  6.96   	  -5.09		 23.82   	 106.82		
 -3.97   	-34.18   	  6.94   	  -5.09		 24.25   	-203.46		
 -3.97   	-39.98   	  6.92   	  -5.09		 23.44   	-478.13		
 -3.05   	-39.06   	  6.90   	  -5.09		 21.53   	-579.86		
 -1.22   	-30.52   	  6.88   	  -5.09		 19.21   	-625.63		
 -0.31   	-18.92   	  6.86   	  -5.09		 16.70   	-645.98		
 -1.22   	-11.60   	  6.84   	  -5.09		 14.12   	-610.37		
 -4.27   	-13.43   	  6.82   	   0.00		 11.68   	-356.05		
 -7.32   	-21.97   	  6.82   	  -5.09		 10.25   	 -30.52		
 -9.16   	-29.30   	  6.80   	   0.00		 10.13   	  91.56		
 -7.32   	-29.30   	  6.80   	  -5.09		 10.50   	 127.16		
 -2.75   	-22.58   	  6.78   	   0.00		 11.01   	 193.29		
  3.36   	-14.65   	  6.78   	   5.09		 11.78   	 223.80		
  7.93   	 -9.77   	  6.80   	   0.00		 12.68   	 111.90		
  9.46   	 -7.93   	  6.80   	   0.00		 13.12   	 147.51		
  7.93   	 -5.80   	  6.80   	   5.09		 13.71   	 137.33		
  4.58   	 -2.44   	  6.82   	   0.00		 14.26   	 208.54		
  1.53   	 -0.92   	  6.82   	   5.09		 15.10   	 478.13		
  0.31   	 -4.58   	  6.84   	   0.00		 17.01   	 406.92		
  1.22   	-11.29   	  6.84   	   5.09		 18.64   	 320.45		
  3.97   	-15.56   	  6.86   	   5.09		 19.92   	 340.79		
  6.71   	-15.26   	  6.88   	   0.00		 21.28   	 -25.43		
  8.24   	-11.60   	  6.88   	   5.09		 21.18   	-381.48		
  6.71   	 -8.54   	  6.90   	   5.09		 19.65   	-325.53		
  2.44   	 -8.85   	  6.92   	   0.00		 18.35   	-305.19		
 -2.44   	-11.60   	  6.92   	   0.00		 17.13   	-300.10		
 -5.19   	-14.65   	  6.92   	   0.00		 15.93   	 -86.47		
 -4.27   	-17.09   	  6.92   	   5.09		 15.58   	-111.90		
  0.00   	-20.14   	  6.94   	   0.00		 15.14   	-300.10		
  5.19   	-22.58   	  6.94   	   0.00		 13.94   	-183.11		
  7.63   	-22.58   	  6.94   	   0.00		 13.20   	  40.69		
  6.41   	-18.31   	  6.94   	   0.00		 13.37   	  15.26		
  2.44   	-12.21   	  6.94   	   0.00		 13.43   	 -35.61		
 -0.92   	 -8.24   	  6.94   	   0.00		 13.29   	  96.64		
 -1.53   	 -8.85   	  6.94   	   0.00		 13.67   	 111.90		
  0.31   	-14.95   	  6.94   	   0.00		 14.12   	 -30.52		
  3.05   	-24.41   	  6.94   	  -5.09		 14.00   	  30.52		
  4.27   	-32.65   	  6.92   	   0.00		 14.12   	 152.59		
  3.36   	-36.01   	  6.92   	   0.00		 14.73   	  71.21		
  0.92   	-32.35   	  6.92   	   0.00		 15.02   	 -25.43		
 -2.14   	-23.50   	  6.92   	   0.00		 14.91   	 -50.86		
 -4.27   	-15.26   	  6.92   	   5.09		 14.71   	-137.33		
 -5.19   	-12.51   	  6.94   	   0.00		 14.16   	   5.09		
 -4.88   	-15.56   	  6.94   	   0.00		 14.18   	 249.24		
 -3.66   	-18.62   	  6.94   	   0.00		 15.18   	 208.54		
 -1.83   	-16.17   	  6.94   	   0.00		 16.01   	  10.17		
  0.61   	 -8.85   	  6.94   	   0.00		 16.05   	  61.04		
  2.75   	 -2.44   	  6.94   	   5.09		 16.30   	 183.11		
  4.58   	 -1.22   	  6.96   	   0.00		 17.03   	  55.95		
  5.80   	 -5.19   	  6.96   	   0.00		 17.25   	-142.42		
  5.49   	-10.68   	  6.96   	   5.09		 16.68   	-188.20		
  4.27   	-13.43   	  6.98   	   0.00		 15.93   	 -81.38		
  2.44   	-11.29   	  6.98   	   0.00		 15.61   	   0.00		
  1.22   	 -5.49   	  6.98   	   0.00		 15.61   	 -30.52		
  1.83   	  0.31   	  6.98   	  -5.09		 15.48   	-132.25		
  4.88   	  3.66   	  6.96   	   0.00		 14.95   	-183.11		
  9.46   	  3.36   	  6.96   	  -5.09		 14.22   	 -71.21		
 13.43   	  2.44   	  6.94   	  -5.09		 13.94   	 116.99		
 14.65   	  5.49   	  6.92   	  -5.09		 14.40   	 203.46		
 12.21   	 15.87   	  6.90   	  -5.09		 15.22   	 137.33		
  7.32   	 27.77   	  6.88   	 -10.17		 15.77   	  66.12		
  2.44   	 31.13   	  6.84   	  -5.09		 16.03   	 106.82		
 -0.31   	 18.92   	  6.82   	 -10.17		 16.46   	 122.07		
 -0.31   	 -7.93   	  6.78   	 -10.17		 16.95   	  76.30		
  1.83   	-37.84   	  6.73   	  -5.09		 17.25   	  96.64		
  3.66   	-54.63   	  6.71   	 -10.17		 17.64   	  81.38		
  4.27   	-47.91   	  6.67   	  -5.09		 17.97   	   0.00		
  3.97   	-19.53   	  6.65   	 -10.17		 17.97   	 -66.12		
  3.36   	 16.17   	  6.61   	  -5.09		 17.70   	 -71.21		
  2.75   	 39.06   	  6.59   	  -5.09		 17.42   	-122.07		
  3.36   	 34.79   	  6.57   	  -5.09		 16.93   	 -66.12		
  3.97   	  7.63   	  6.55   	  -5.09		 16.66   	  55.95		
  4.88   	-24.11   	  6.53   	  -5.09		 16.89   	  71.21		
  5.49   	-41.50   	  6.51   	  -5.09		 17.17   	  66.12		
  4.88   	-38.15   	  6.49   	   0.00		 17.44   	  45.78		
  3.66   	-21.06   	  6.49   	   0.00		 17.62   	  15.26		
  2.75   	 -2.44   	  6.49   	   0.00		 17.68   	  35.61		
  2.44   	 10.07   	  6.49   	   0.00		 17.82   	  55.95		
  2.75   	 14.95   	  6.49   	   5.09		 18.05   	   5.09		
  3.36   	 12.51   	  6.51   	   5.09		 18.07   	 -61.04		
  4.27   	  3.05   	  6.53   	   5.09		 17.82   	 -61.04		
  4.88   	-10.68   	  6.55   	  10.17		 17.58   	 -81.38		
  4.58   	-23.19   	  6.59   	  10.17		 17.25   	-137.33		
  3.97   	-29.30   	  6.63   	  10.17		 16.70   	-249.24		
  3.05   	-27.47   	  6.67   	  10.17		 15.71   	-274.67		
  2.75   	-20.75   	  6.71   	  10.17		 14.61   	-137.33		
  3.66   	-11.90   	  6.75   	  15.26		 14.06   	  40.69		
  5.19   	 -2.75   	  6.82   	  10.17		 14.22   	  30.52		
  6.71   	  4.58   	  6.86   	  15.26		 14.34   	  35.61		
  7.32   	  6.10   	  6.92   	  15.26		 14.49   	 147.51		
  7.32   	  0.00   	  6.98   	  10.17		 15.08   	 106.82		
  7.32   	 -7.02   	  7.02   	  15.26		 15.50   	  45.78		
  8.24   	 -5.49   	  7.08   	  10.17		 15.69   	   5.09		
  9.46   	  8.85   	  7.12   	  15.26		 15.71   	 -86.47		
 10.99   	 27.77   	  7.18   	  10.17		 15.36   	-111.90		
 11.60   	 38.76   	  7.22   	  10.17		 14.91   	 -86.47		
 12.21   	 32.04   	  7.26   	  10.17		 14.57   	-116.99		
 13.12   	 11.90   	  7.30   	  10.17		 14.10   	-132.25		
 14.95   	 -6.71   	  7.34   	   5.09		 13.57   	 -96.64		
 17.09   	-12.82   	  7.37   	   5.09		 13.18   	-106.82		
 17.70   	 -3.97   	  7.39   	   5.09		 12.76   	-106.82		
 15.87   	 13.12   	  7.41   	   5.09		 12.33   	   5.09		
 12.51   	 27.16   	  7.43   	   0.00		 12.35   	 101.73		
  9.46   	 29.91   	  7.43   	   0.00		 12.76   	 101.73		
  7.32   	 20.14   	  7.43   	  -5.09		 13.16   	 198.37		
  6.71   	  4.58   	  7.41   	   0.00		 13.96   	 228.89		
  6.41   	 -7.02   	  7.41   	  -5.09		 14.87   	-132.25		
  5.80   	 -9.46   	  7.39   	 -10.17		 14.34   	-376.40		
  5.49   	 -3.97   	  7.34   	  -5.09		 12.84   	-132.25		
  6.41   	  3.36   	  7.32   	 -10.17		 12.31   	 -20.35		
  7.63   	  8.54   	  7.28   	 -10.17		 12.23   	-473.04		
  8.85   	 10.99   	  7.24   	 -10.17		 10.34   	-595.11		
  9.77   	 10.99   	  7.20   	 -10.17		  7.96   	 -15.26		
 10.38   	  7.63   	  7.16   	 -15.26		  7.89   	 366.22		
 11.29   	  0.92   	  7.10   	 -15.26		  9.36   	  66.12		
 11.29   	 -7.32   	  7.04   	 -15.26		  9.62   	-142.42		
  9.77   	-12.51   	  6.98   	 -15.26		  9.05   	 554.42		
  7.32   	-12.51   	  6.92   	 -15.26		 11.27   	 956.25		
  5.19   	 -8.24   	  6.86   	 -15.26		 15.10   	 605.29		
  3.97   	 -2.14   	  6.80   	 -15.26		 17.52   	 172.94		
  3.97   	  4.58   	  6.73   	 -15.26		 18.21   	 193.29		
  4.27   	  9.77   	  6.67   	 -15.26		 18.98   	 274.67		
  5.19   	 10.38   	  6.61   	 -15.26		 20.08   	 -45.78		
  6.71   	  5.19   	  6.55   	 -10.17		 19.90   	-259.41		
  8.54   	 -3.66   	  6.51   	 -10.17		 18.86   	-305.19		
  9.77   	-11.90   	  6.47   	 -10.17		 17.64   	-366.22		
  9.77   	-14.65   	  6.43   	  -5.09		 16.17   	-335.71		
  8.24   	-10.38   	  6.41   	  -5.09		 14.83   	-223.80		
  7.02   	 -2.44   	  6.39   	   0.00		 13.94   	-137.33		
  7.02   	  4.27   	  6.39   	   0.00		 13.39   	 -96.64		
  7.93   	  6.10   	  6.39   	   5.09		 13.00   	 -66.12		
  8.54   	  4.58   	  6.41   	   5.09		 12.74   	  25.43		
  8.85   	  5.19   	  6.43   	   5.09		 12.84   	 116.99		
  9.16   	 11.60   	  6.45   	  10.17		 13.31   	 122.07		
  9.77   	 22.58   	  6.49   	  10.17		 13.79   	 101.73		
 10.07   	 30.52   	  6.53   	  10.17		 14.20   	  40.69		
  9.16   	 26.86   	  6.57   	  15.26		 14.36   	 -10.17		
  7.63   	 12.51   	  6.63   	  15.26		 14.32   	 -10.17		
  6.10   	 -2.75   	  6.69   	  15.26		 14.28   	 -30.52		
  5.49   	 -6.41   	  6.75   	  10.17		 14.16   	 -20.35		
  6.71   	  2.44   	  6.80   	  15.26		 14.08   	  -5.09		
  8.24   	 17.09   	  6.86   	  15.26		 14.06   	   5.09		
  8.54   	 27.47   	  6.92   	  15.26		 14.08   	  55.95		
  7.63   	 28.08   	  6.98   	  15.26		 14.30   	  91.56		
  5.19   	 19.53   	  7.04   	  15.26		 14.67   	  66.12		
  2.75   	  6.10   	  7.10   	  10.17		 14.93   	  66.12		
  1.22   	 -5.49   	  7.14   	  10.17		 15.20   	  76.30		
  0.92   	 -9.77   	  7.18   	  10.17		 15.50   	  15.26		
  0.61   	 -3.36   	  7.22   	   5.09		 15.56   	 -35.61		
  0.92   	  9.77   	  7.24   	  10.17		 15.42   	 -40.69		
  0.92   	 19.84   	  7.28   	   5.09		 15.26   	 -81.38		
  1.22   	 16.48   	  7.30   	   5.09		 14.93   	-127.16		
  1.53   	 -1.53   	  7.32   	   0.00		 14.43   	 -66.12		
  0.92   	-23.80   	  7.32   	   5.09		 14.16   	  71.21		
 -0.92   	-36.01   	  7.34   	   0.00		 14.45   	 147.51		
