  I     	  II     	  PW     	  PW'		  LV     	  LV'		
-33.87   	-42.42   	 12.72   	  10.17		 48.44   	-1068.15		
-33.87   	-43.33   	 12.76   	  15.26		 44.17   	-1042.72		
-32.65   	-35.71   	 12.82   	  10.17		 40.00   	-879.96		
-31.43   	-28.08   	 12.86   	   5.09		 36.48   	-595.11		
-31.74   	-28.38   	 12.88   	   0.00		 34.10   	-366.22		
-33.87   	-37.54   	 12.88   	 -15.26		 32.63   	-193.29		
-37.23   	-48.52   	 12.82   	 -15.26		 31.86   	 -71.21		
-39.37   	-53.41   	 12.76   	 -20.35		 31.58   	 -66.12		
-38.45   	-47.91   	 12.68   	 -20.35		 31.31   	-208.54		
-35.10   	-36.62   	 12.59   	 -15.26		 30.48   	-417.09		
-30.52   	-29.60   	 12.53   	 -10.17		 28.81   	-605.29		
-26.86   	-35.71   	 12.49   	   0.00		 26.39   	-696.84		
-25.63   	-54.32   	 12.49   	  10.17		 23.60   	-691.76		
-26.86   	-73.55   	 12.53   	  10.17		 20.83   	-630.72		
-28.69   	-79.04   	 12.57   	  15.26		 18.31   	-544.25		
-29.91   	-65.92   	 12.63   	  10.17		 16.13   	-412.00		
-29.60   	-45.47   	 12.68   	   5.09		 14.49   	-295.01		
-27.47   	-34.18   	 12.70(V)	   0.00		 13.31   	-208.54		
-24.11   	-39.98   	 12.70   	 -10.17		 12.47   	-157.68		
-21.06   	-55.54   	 12.66   	 -15.26		 11.84   	-127.16		
-20.45   	-66.53   	 12.59   	 -20.35		 11.33   	-116.99		
-21.67   	-65.00   	 12.51   	 -25.43		 10.86   	-127.16		
-23.50   	-55.24   	 12.41   	 -20.35		 10.36   	-142.42		
-23.80   	-47.30   	 12.33   	 -20.35		  9.79   	-142.42		
-21.97   	-43.95   	 12.25   	 -20.35		  9.22   	-127.16		
-18.31   	-40.28   	 12.17   	 -20.35		  8.71   	 -96.64		
-14.65   	-31.13   	 12.09   	 -20.35		  8.32   	 -71.21		
-12.51   	-19.84   	 12.00   	 -25.43		  8.04   	 -76.30		
-12.82   	-15.87   	 11.90   	 -25.43		  7.73   	 -91.56		
-15.87   	-24.41   	 11.80   	 -30.52		  7.37   	 -91.56		
-21.36   	-39.06   	 11.68   	 -35.61		  7.00   	 -91.56		
-26.25   	-44.86   	 11.54   	 -30.52		  6.63   	-116.99		
-26.55   	-34.18   	 11.41   	 -25.43		  6.16   	-116.99		
-21.67   	-13.43   	 11.31   	 -20.35		  5.70   	 -76.30		
-14.04   	  3.05   	 11.23   	 -15.26		  5.39(D)	   5.09		
 -8.85   	  3.66   	 11.17   	 -10.17		  5.41   	 101.73		
-10.07   	-10.99   	 11.13   	   5.09		  5.82   	 183.11		
-16.17   	-30.52   	 11.15   	   5.09		  6.55   	 233.98		
-23.19   	-43.64   	 11.17   	  10.17		  7.49   	 289.93		
-27.16   	-45.78   	 11.21   	  15.26		  8.65   	 396.74		
-27.47   	-38.15   	 11.27   	  15.26		 10.23   	 503.56		
-27.16   	-25.94   	 11.33   	  10.17		 12.25   	 452.69		
-28.08   	-14.95   	 11.37   	  10.17		 14.06   	 142.42		
-30.21   	-10.99   	 11.41   	   5.09		 14.63   	-127.16		
-31.13   	-14.95   	 11.43   	  -5.09		 14.12   	 -76.30		
-29.60   	-24.41   	 11.41   	 -10.17		 13.81   	  91.56		
-26.86   	-34.18   	 11.37   	 -10.17		 14.18   	 127.16		
-25.63   	-40.89   	 11.33   	 -20.35		 14.69   	  91.56		
-26.86   	-44.56   	 11.25   	 -30.52		 15.06   	  35.61		
-29.60   	-43.33   	 11.13   	 -30.52		 15.20   	  20.35		
-31.74   	-35.71   	 11.01   	 -40.69		 15.28   	  50.86		
-31.74   	-20.75   	 10.84   	 -45.78		 15.48   	 101.73		
-29.30   	 -5.19   	 10.66   	 -50.86		 15.89   	  91.56		
-26.25   	  0.92   	 10.46   	 -55.95		 16.26   	  20.35		
-24.72   	 -8.24   	 10.23   	 -61.04		 16.34   	 -96.64		
-25.33   	-27.77   	  9.99   	 -61.04		 15.95   	-178.03		
-25.94   	-46.08   	  9.75   	 -55.95		 15.24   	-167.85		
-25.02   	-53.41   	  9.52   	 -61.04		 14.57   	-122.07		
-23.19   	-50.05   	  9.28   	 -50.86		 14.08   	 -81.38		
-21.67   	-40.89   	  9.07   	 -45.78		 13.75   	 -61.04		
-22.28   	-30.52   	  8.89   	 -40.69		 13.51   	 -35.61		
-25.63   	-20.45   	  8.73   	 -35.61		 13.37   	  10.17		
-28.69   	-12.82   	  8.59   	 -25.43		 13.41   	  71.21		
-29.30   	-12.82   	  8.48   	 -20.35		 13.69   	 111.90		
-27.16   	-24.41   	  8.40   	 -15.26		 14.14   	 122.07		
-23.50   	-41.81   	  8.34   	 -15.26		 14.63   	 106.82		
-20.45   	-53.41   	  8.28   	 -15.26		 15.06   	  66.12		
-18.92   	-48.22   	  8.22   	 -10.17		 15.32   	  30.52		
-18.92   	-27.47   	  8.18   	 -15.26		 15.44   	  -5.09		
-19.84   	 -6.10   	  8.12   	 -10.17		 15.42   	 -35.61		
-20.75   	  0.31   	  8.08   	 -10.17		 15.28   	 -81.38		
-20.45   	-11.90   	  8.04   	  -5.09		 14.95   	-116.99		
-18.31   	-30.82   	  8.02   	  -5.09		 14.49   	-142.42		
-14.34   	-38.76   	  8.00   	   0.00		 13.92   	-116.99		
-10.68   	-28.38   	  8.00   	   5.09		 13.45   	 -71.21		
 -8.85   	 -9.46   	  8.02   	  10.17		 13.16   	 -20.35		
-10.07   	  2.14   	  8.06   	  10.17		 13.08   	  30.52		
-14.34   	 -2.44   	  8.10   	  10.17		 13.20   	  61.04		
-18.92   	-18.62   	  8.14   	  15.26		 13.45   	  61.04		
-21.06   	-32.35   	  8.20   	  10.17		 13.69   	  45.78		
-20.14   	-36.62   	  8.24   	   5.09		 13.88   	  15.26		
-17.09   	-35.10   	  8.26   	   5.09		 13.94   	  -5.09		
-14.65   	-32.96   	  8.28   	   0.00		 13.92   	 -15.26		
-15.56   	-29.91   	  8.28   	  -5.09		 13.86   	 -35.61		
-19.84   	-21.97   	  8.26   	 -10.17		 13.71   	 -55.95		
-24.41   	 -8.54   	  8.22   	 -15.26		 13.49   	 -81.38		
-25.94   	  2.44   	  8.16   	 -15.26		 13.16   	 -91.56		
-23.50   	 -1.53   	  8.10   	 -20.35		 12.80   	 -86.47		
-18.62   	-24.41   	  8.02   	 -25.43		 12.45   	 -66.12		
-15.26   	-52.49   	  7.91   	 -20.35		 12.19   	 -35.61		
-15.56   	-64.09   	  7.83   	 -25.43		 12.04   	   5.09		
-18.31   	-47.00   	  7.73   	 -20.35		 12.07   	  40.69		
-21.36   	-11.29   	  7.65   	 -25.43		 12.23   	  45.78		
-23.19   	 16.78   	  7.55   	 -25.43		 12.41   	  50.86		
-24.11   	 13.43   	  7.45   	 -20.35		 12.61   	  35.61		
-24.41   	-25.02   	  7.37   	 -25.43		 12.76   	  15.26		
-24.41   	-74.46   	  7.26   	 -20.35		 12.82   	  10.17		
-24.11   	-97.05   	  7.18   	 -20.35		 12.86   	  20.35		
-23.19   	-70.19   	  7.10   	 -15.26		 12.94   	  20.35		
-21.06   	 -7.63   	  7.04   	 -20.35		 13.02   	   5.09		
-18.01   	 47.91   	  6.96   	 -15.26		 13.04   	 -25.43		
-14.95   	 54.93   	  6.90   	 -20.35		 12.94   	 -40.69		
-13.12   	  9.16   	  6.82   	 -15.26		 12.78   	 -40.69		
-13.12   	-52.19   	  6.75   	 -10.17		 12.61   	 -25.43		
-14.65   	-78.43   	  6.71   	 -15.26		 12.51   	   5.09		
-16.48   	-49.74   	  6.65   	 -10.17		 12.53   	  45.78		
-17.09   	  4.58   	  6.61   	  -5.09		 12.72   	  66.12		
-17.09   	 35.40   	  6.59   	  -5.09		 12.98   	  55.95		
-17.09   	 18.31   	  6.57   	  -5.09		 13.20   	  40.69		
-17.09   	-27.16   	  6.55   	   0.00		 13.37   	  25.43		
-16.48   	-57.37   	  6.55   	   0.00		 13.47   	  20.35		
-14.65   	-44.25   	  6.55   	   0.00		 13.55   	  30.52		
-12.82   	  3.36   	  6.55   	   5.09		 13.67   	  35.61		
-12.82   	 46.39   	  6.57   	  10.17		 13.81   	  35.61		
-14.65   	 52.19   	  6.61   	   5.09		 13.96   	   5.09		
-16.48   	 19.84   	  6.63   	  10.17		 13.98   	 -15.26		
-15.87   	-25.94   	  6.67   	  15.26		 13.92   	 -25.43		
-13.12   	-54.32   	  6.73   	  10.17		 13.81   	 -15.26		
-10.07   	-47.00   	  6.78   	  15.26		 13.75   	  15.26		
 -8.85   	-10.99   	  6.84   	  15.26		 13.81   	  40.69		
-10.07   	 28.69   	  6.90   	  20.35		 13.98   	  50.86		
-13.12   	 47.30   	  6.98   	  15.26		 14.18   	  30.52		
-15.26   	 33.87   	  7.04   	  20.35		 14.30   	   5.09		
-15.26   	 -2.75   	  7.12   	  20.35		 14.32   	   0.00		
-13.73   	-39.37   	  7.20   	  20.35		 14.32   	   0.00		
-11.60   	-53.10   	  7.28   	  15.26		 14.32   	   5.09		
-10.68   	-37.23   	  7.34   	  20.35		 14.34   	  15.26		
-10.99   	 -6.41   	  7.43   	  20.35		 14.40   	   5.09		
-13.43   	 16.17   	  7.51   	  15.26		 14.43   	 -20.35		
-17.40   	 15.26   	  7.57   	  15.26		 14.34   	 -45.78		
-20.75   	-10.07   	  7.63   	  20.35		 14.16   	 -45.78		
-21.97   	-42.11   	  7.71   	  10.17		 13.98   	 -35.61		
-20.14   	-56.76   	  7.75   	  15.26		 13.84   	  -5.09		
-15.87   	-39.98   	  7.81   	  10.17		 13.81   	  30.52		
-11.90   	  0.00   	  7.85   	  15.26		 13.94   	  40.69		
-10.07   	 37.23   	  7.91   	  10.17		 14.10   	  15.26		
-10.38   	 43.33   	  7.96   	  10.17		 14.16   	  -5.09		
-11.29   	  9.77   	  8.00   	  10.17		 14.14   	 -10.17		
-11.60   	-42.11   	  8.04   	  10.17		 14.10   	  -5.09		
-11.90   	-73.85   	  8.08   	   5.09		 14.08   	   0.00		
-12.51   	-61.65   	  8.10   	  10.17		 14.08   	  20.35		
-13.43   	-19.23   	  8.14   	  10.17		 14.16   	  30.52		
-14.34   	 17.70   	  8.18   	  10.17		 14.28   	  10.17		
-13.73   	 22.58   	  8.22   	  25.43		 14.32   	 -50.86		
-12.51   	-43.95   	  8.32   	  10.17		 14.12   	  -5.09		
-14.04   	-25.02   	  8.36   	  10.17		 14.10   	  25.43		
-14.65   	  7.02   	  8.40   	  10.17		 14.20   	  40.69		
-13.12   	 29.30   	  8.44   	  10.17		 14.36   	  30.52		
-10.68   	 26.25   	  8.48   	  15.26		 14.49   	   5.09		
 -8.24   	 -2.44   	  8.55   	  10.17		 14.51   	 -10.17		
 -7.93   	-39.37   	  8.59   	  15.26		 14.47   	 -10.17		
 -9.46   	-58.59   	  8.65   	  10.17		 14.43   	   0.00		
-10.99   	-44.25   	  8.69   	  15.26		 14.43   	  30.52		
 -9.77   	 -4.27   	  8.75   	  15.26		 14.55   	  45.78		
 -5.19   	 34.48   	  8.81   	  15.26		 14.73   	  40.69		
 -0.31   	 45.78   	  8.87   	  20.35		 14.89   	  10.17		
  1.53   	 25.63   	  8.95   	  15.26		 14.93   	  -5.09		
 -2.14   	 -7.32   	  9.01   	  20.35		 14.91   	 -10.17		
 -8.85   	-30.52   	  9.09   	  20.35		 14.87   	 -10.17		
-14.95   	-33.87   	  9.18   	  20.35		 14.83   	  15.26		
-17.09   	-24.41   	  9.26   	  20.35		 14.89   	  50.86		
-15.87   	-13.73   	  9.34   	  25.43		 15.10   	  61.04		
-13.43   	 -8.24   	  9.44   	  20.35		 15.34   	  40.69		
-12.82   	 -6.10   	  9.52   	  25.43		 15.50   	  20.35		
-14.04   	 -4.58   	  9.62   	  20.35		 15.58   	  10.17		
-15.56   	 -3.97   	  9.70   	  30.52		 15.63   	  10.17		
-16.17   	 -5.19   	  9.83   	  25.43		 15.67   	  15.26		
-15.87   	 -6.71   	  9.93   	  30.52		 15.73   	  30.52		
-14.95   	 -6.41   	 10.05   	  30.52		 15.85   	  45.78		
-14.34   	 -3.66   	 10.17   	  35.61		 16.03   	  50.86		
-14.34   	 -1.22   	 10.32   	  35.61		 16.24   	  40.69		
-14.95   	 -2.44   	 10.46   	  40.69		 16.40   	  20.35		
-16.48   	 -7.63   	 10.62   	  45.78		 16.48   	  15.26		
-18.01   	-13.73   	 10.80   	  40.69		 16.54   	  15.26		
-19.23   	-16.78   	 10.97   	  45.78		 16.60   	  10.17		
-19.23   	-14.95   	 11.15   	  45.78		 16.64   	  15.26		
-18.31   	 -9.77   	 11.33   	  50.86		 16.70   	  35.61		
-16.48   	 -3.66   	 11.54   	  50.86		 16.85   	  35.61		
-14.65   	  1.83   	 11.74   	  45.78		 16.99   	  35.61		
-13.12   	  5.80   	 11.92   	  50.86		 17.13   	  30.52		
-11.90   	  7.93   	 12.13   	  45.78		 17.25   	  30.52		
-11.29   	  7.02   	 12.31   	  50.86		 17.38   	  25.43		
-11.29   	  2.75   	 12.51   	  45.78		 17.48   	  15.26		
-11.90   	 -3.66   	 12.70   	  50.86		 17.54   	  15.26		
-12.82   	 -9.46   	 12.90   	  50.86		 17.60   	  15.26		
-13.43   	-12.21   	 13.10   	  45.78		 17.66   	  20.35		
-12.82   	-11.60   	 13.29   	  55.95		 17.74   	  20.35		
-11.60   	 -9.46   	 13.51   	  50.86		 17.82   	  20.35		
-10.07   	 -7.93   	 13.71   	  50.86		 17.90   	  40.69		
 -8.54   	 -8.85   	 13.92   	  45.78		 18.07   	  50.86		
 -7.63   	-10.38   	 14.10   	  45.78		 18.27   	  61.04		
 -7.63   	-10.68   	 14.28   	  40.69		 18.51   	  45.78		
 -8.24   	 -7.93   	 14.45   	  45.78		 18.70   	  55.95		
 -8.54   	 -3.05   	 14.63   	  45.78		 18.92   	  50.86		
 -8.54   	  1.83   	 14.81   	  55.95		 19.13   	  40.69		
 -7.63   	  4.88   	 15.04   	  66.12		 19.29   	  45.78		
 -6.41   	  4.88   	 15.30   	  81.38		 19.47   	  50.86		
 -5.19   	  3.36   	 15.63   	 101.73		 19.67   	  55.95		
 -4.58   	  1.53   	 16.03   	 122.07		 19.90   	  66.12		
 -4.88   	  0.92   	 16.52   	 142.42		 20.16   	  61.04		
 -6.10   	  0.61   	 17.09   	 162.77		 20.41   	  50.86		
 -7.63   	  0.31   	 17.74   	 172.94		 20.61   	  55.95		
 -9.46   	 -0.61   	 18.43   	 183.11		 20.83   	  45.78		
-10.68   	 -1.53   	 19.17   	 178.03		 21.02   	  45.78		
-10.99   	 -2.14   	 19.88   	 178.03		 21.20   	  40.69		
-11.29   	 -1.22   	 20.59   	 157.68		 21.36   	  35.61		
-11.29   	  0.00   	 21.22   	 147.51		 21.51   	  45.78		
-11.29   	  1.53   	 21.81   	 127.16		 21.69   	  45.78		
-11.60   	  3.05   	 22.32   	 111.90		 21.87   	  45.78		
-11.29   	  4.27   	 22.77   	  96.64		 22.05   	  40.69		
-10.68   	  5.80   	 23.15   	  86.47		 22.22   	  45.78		
-10.07   	  8.24   	 23.50   	  76.30		 22.40   	  35.61		
 -9.16   	 11.29   	 23.80   	  81.38		 22.54   	  25.43		
 -8.54   	 13.43   	 24.13   	  81.38		 22.64   	  25.43		
 -8.54   	 14.04   	 24.46   	  86.47		 22.75   	  10.17		
 -9.16   	 12.51   	 24.80   	  91.56		 22.79   	  -5.09		
-10.07   	 10.07   	 25.17   	 101.73		 22.77   	 -15.26		
-10.99   	  7.63   	 25.57   	 101.73		 22.71   	 -25.43		
-10.99   	  6.41   	 25.98   	 101.73		 22.60   	 -30.52		
-10.99   	  6.10   	 26.39   	 101.73		 22.48   	 -25.43		
-10.68   	  5.80   	 26.80   	  96.64		 22.38   	 -20.35		
-10.68   	  3.66   	 27.18   	  91.56		 22.30   	 -10.17		
-10.38   	 -0.61   	 27.55   	  86.47		 22.26   	 -10.17		
 -9.77   	 -5.49   	 27.89   	  76.30		 22.22   	   0.00		
 -9.16   	 -7.32   	 28.20   	  71.21		 22.22   	  -5.09		
 -8.85   	 -3.05   	 28.48   	  71.21		 22.20   	  -5.09		
 -9.16   	  6.41   	 28.77   	  66.12		 22.18   	   0.00		
 -9.16   	 18.62   	 29.03   	  61.04		 22.18   	 -10.17		
 -8.85   	 27.77   	 29.28   	  61.04		 22.14   	  -5.09		
 -8.54   	 30.82   	 29.52   	  61.04		 22.12   	 -10.17		
 -9.16   	 26.55   	 29.77   	  55.95		 22.08   	   0.00		
 -9.16   	 20.14   	 29.99   	  55.95		 22.08(E)	   5.09		
 -6.71   	 20.75   	 30.21   	  45.78		 22.10   	  15.26		
 -1.22   	 42.11   	 30.40   	  35.61		 22.16   	  30.52		
  6.10   	 97.66   	 30.54   	  30.52		 22.28   	  40.69		
 10.38   	200.50   	 30.66   	  20.35		 22.44   	  66.12		
  8.54   	359.19   	 30.74   	  15.26		 22.71   	  86.47		
  4.58   	574.65   	 30.80   	  10.17		 23.05   	 127.16		
  7.32   	827.33   	 30.84   	   5.09		 23.56   	 162.77		
 24.41   	1070.25   	 30.86   	   5.09		 24.21   	 178.03		
 53.10   	1237.49   	 30.88   	   5.09		 24.92   	 193.29		
 79.04   	1273.19(R)	 30.91   	   0.00		 25.70   	 213.63		
 84.53   	1166.38   	 30.91   	   0.00		 26.55   	 274.67		
 60.42   	961.30   	 30.91   	   5.09		 27.65   	 361.14		
 12.82   	731.20   	 30.93   	  -5.09		 29.09   	 462.87		
-40.59   	536.80   	 30.91   	 -10.17		 30.95   	 554.42		
-85.14   	397.64   	 30.86   	 -15.26		 33.16   	 681.58		
-111.69   	302.12   	 30.80   	 -25.43		 35.89   	 839.26		
-119.32   	229.19   	 30.70   	 -35.61		 39.25   	1057.98		
-110.78   	164.49   	 30.56   	 -45.78		 43.48   	1368.26		
-89.42   	104.37   	 30.38   	 -50.86		 48.95   	1775.17		
-59.81   	 48.22   	 30.17   	 -61.04		 56.05   	2207.52		
-30.21   	 -3.05   	 29.93   	 -50.86		 64.88   	2482.19		
 -8.85   	-44.86   	 29.73   	 -35.61		 74.81   	2609.35		
  0.61   	-70.19   	 29.58   	 -10.17		 85.25   	2227.87		
  0.31   	-77.51   	 29.54   	  20.35		 94.16   	1098.67		
 -3.66   	-73.85   	 29.62   	  66.12		 98.56   	 152.59		
 -6.41   	-70.19   	 29.89   	  91.56		 99.17   	 162.77		
 -5.80   	-71.72   	 30.25   	 122.07		 99.82   	 651.07		
 -4.27   	-76.60   	 30.74   	 116.99		102.42   	 737.54		
 -3.36   	-79.96   	 31.21   	  96.64		105.37   	 559.51		
 -3.66   	-79.04   	 31.60   	  55.95		107.61   	 437.43		
 -4.58   	-76.29   	 31.82(A)	   0.00		109.36   	 406.92		
 -4.88   	-74.16   	 31.82   	 -66.12		110.99   	 462.87		
 -4.27   	-74.77   	 31.56   	-111.90		112.84   	 417.09		
 -3.05   	-78.74   	 31.11   	-152.59		114.51   	 188.20		
 -1.83   	-85.75   	 30.50   	-157.68		115.26   	-147.51		
 -0.92   	-94.60   	 29.87   	-132.25		114.67   	-554.42		
  0.00   	-103.45   	 29.34   	 -96.64		112.45   	-930.82		
  0.92   	-108.64   	 28.95   	 -35.61		108.73   	-1063.07		
  2.14   	-108.34   	 28.81   	  25.43		104.48   	-752.79		
  3.36   	-102.54   	 28.91   	  71.21		101.46   	-239.06		
  4.58   	-93.08   	 29.20   	 111.90		100.51   	 361.14		
  5.80   	-83.62   	 29.64   	 127.16		101.95   	1027.46		
  7.02   	-76.29   	 30.15   	 127.16		106.06   	1424.21		
  8.24   	-72.02   	 30.66   	 106.82		111.76   	1556.45		
 10.07   	-71.11   	 31.09   	  81.38		117.99   	1739.57		
 11.90   	-72.94   	 31.41   	  45.78		124.94   	1673.44		
 13.43   	-75.99   	 31.60   	  15.26		131.64   	1073.24		
 14.34   	-78.74   	 31.66   	  -5.09		135.93   	 295.01		
 14.65   	-80.57   	 31.64   	 -20.35		137.11   	-315.36		
 14.04   	-79.65   	 31.56   	 -25.43		135.85   	-818.92		
 13.43   	-76.90   	 31.45   	 -15.26		132.57   	-1129.19		
 13.12   	-72.33   	 31.39   	 -15.26		128.06   	-1002.03		
 13.73   	-67.44   	 31.33   	 -10.17		124.05   	-549.34		
 15.26   	-63.48   	 31.29   	  -5.09		121.85   	-111.90		
 18.01   	-61.04   	 31.27   	  -5.09		121.40   	 193.29		
 20.45   	-60.12   	 31.25   	 -15.26		122.18   	 498.47		
 21.97   	-59.81   	 31.19   	 -25.43		124.17   	 849.44		
 22.89   	-56.15   	 31.09   	 -35.61		127.57   	1032.55		
 23.19   	-46.69   	 30.95   	 -50.86		131.70   	 885.04		
 24.72   	-30.82   	 30.74   	 -61.04		135.24   	 539.16		
 27.16   	-11.29   	 30.50   	 -61.04		137.40   	 193.29		
 30.82   	  5.80   	 30.25   	 -55.95		138.17(S)	-137.33		
 34.18   	 16.78   	 30.03   	 -55.95		137.62   	-406.92		
 36.62   	 23.50   	 29.81   	 -40.69		135.99   	-595.11		
 37.84   	 31.74   	 29.64   	 -30.52		133.61   	-661.24		
 38.76   	 46.08   	 29.52   	 -15.26		130.97   	-518.82		
 40.59   	 66.22   	 29.46   	   0.00		128.89   	-193.29		
 43.95   	 86.06   	 29.46   	  10.17		128.12   	 111.90		
 48.52   	101.93   	 29.50   	  20.35		128.57   	 300.10		
 53.10   	115.05   	 29.58   	  25.43		129.77   	 386.57		
 56.76   	130.92   	 29.68   	  25.43		131.31   	 340.79		
 59.81   	153.50   	 29.79   	  25.43		132.67   	 142.42		
 62.56   	180.66   	 29.89   	  25.43		133.24   	 -96.64		
 64.39   	205.69   	 29.99   	  25.43		132.86   	-284.84		
 65.61   	223.08   	 30.09   	  20.35		131.72   	-386.57		
 65.61   	231.32   	 30.17   	  15.26		130.17   	-417.09		
 63.78   	232.85   	 30.23   	  15.26		128.50   	-406.92		
 60.12   	229.19   	 30.29   	  15.26		126.88   	-376.40		
 55.85   	220.64   	 30.36   	  15.26		125.37   	-315.36		
 51.27   	206.91   	 30.42   	  20.35		124.11   	-244.15		
 47.61   	189.82   	 30.50   	  15.26		123.13   	-188.20		
 44.56   	173.03   	 30.56   	  15.26		122.38   	-198.37		
 41.20   	157.17   	 30.62   	  20.35		121.59   	-274.67		
 37.23   	140.38   	 30.70   	  20.35		120.49   	-381.48		
 32.96   	119.63   	 30.78   	  15.26		118.96   	-528.99		
 29.30   	 97.05   	 30.84   	  20.35		116.85   	-666.32		
 26.55   	 76.90   	 30.93   	  15.26		114.18   	-752.79		
 24.11   	 64.39   	 30.99   	  10.17		111.17   	-798.57		
 21.36   	 59.51   	 31.03   	  15.26		107.98   	-824.00		
 18.01   	 57.68   	 31.09   	   5.09		104.68   	-854.52		
 14.04   	 53.10   	 31.11   	   5.09		101.26   	-910.47		
 10.07   	 43.64   	 31.13   	   0.00		 97.62   	-1017.29		
  6.10   	 30.82   	 31.13   	   5.09		 93.55   	-1073.24		
  2.44   	 18.01   	 31.15   	  -5.09		 89.26   	-986.77		
 -0.92   	  6.41   	 31.13   	   0.00		 85.31   	-681.58		
 -3.66   	 -4.27   	 31.13   	  -5.09		 82.58   	-264.50		
 -5.80   	-14.04   	 31.11   	  -5.09		 81.53   	-116.99		
 -7.32   	-22.58   	 31.09   	  -5.09		 81.06   	-432.35		
 -7.93   	-26.86   	 31.07   	 -10.17		 79.33   	-1083.41		
 -7.93   	-25.63   	 31.03   	 -15.26		 74.99   	-1586.97		
 -7.93   	-21.36   	 30.97   	 -15.26		 68.65   	-1648.01		
 -7.93   	-16.78   	 30.91   	 -20.35		 62.05   	-1714.13		
 -8.54   	-14.65   	 30.82   	 -15.26		 55.20   	-1749.74		
 -9.46   	-14.95   	 30.76   	 -20.35		 48.20   	-1414.03		
-10.68   	-16.78   	 30.68   	 -15.26		 42.54   	-966.43		
-11.60   	-18.92   	 30.62   	  -5.09		 38.68   	-584.94		
-12.21   	-22.28   	 30.60   	  -5.09		 36.34   	-269.58		
-12.21   	-26.25   	 30.58   	   0.00		 35.26   	 -40.69		
-12.21   	-28.08   	 30.58   	  -5.09		 35.10   	  61.04		
-12.51   	-25.94   	 30.56   	   0.00		 35.34   	  20.35		
-12.82   	-20.45   	 30.56   	  -5.09		 35.42   	 -86.47		
-12.51   	-15.56   	 30.54   	   5.09		 35.08   	-203.46		
-11.90   	-14.95   	 30.56   	  15.26		 34.26   	-376.40		
-11.29   	-19.84   	 30.62   	  30.52		 32.76   	-554.42		
-10.38   	-28.69   	 30.74   	  50.86		 30.54   	-651.07		
 -9.16   	-37.54   	 30.95   	  61.04		 27.93   	-656.15		
 -8.24   	-43.64   	 31.19   	  71.21		 25.31   	-600.20		
 -7.32   	-45.47   	 31.47   	  66.12		 22.91   	-488.30		
 -7.02   	-42.11   	 31.74   	  50.86		 20.96   	-330.62		
 -6.71   	-34.79   	 31.94   	  35.61		 19.63   	-142.42		
 -6.10   	-26.25   	 32.09   	  15.26		 19.06   	  20.35		
 -4.88   	-18.92   	 32.15(V)	   0.00		 19.15   	 116.99		
 -3.05   	-14.95   	 32.15   	 -10.17		 19.61   	 162.77		
 -1.22   	-14.34   	 32.11   	 -20.35		 20.26   	 157.68		
  0.31   	-16.17   	 32.02   	 -15.26		 20.90   	  61.04		
  1.22   	-19.23   	 31.96   	 -15.26		 21.14   	-116.99		
  1.83   	-21.67   	 31.90   	  -5.09		 20.67   	-244.15		
  1.83   	-20.45   	 31.88   	  -5.09		 19.69   	-249.24		
  2.14   	-13.73   	 31.86   	   0.00		 18.70   	-213.63		
  1.83   	 -3.36   	 31.86   	   0.00		 17.84   	-167.85		
  1.83   	  4.58   	 31.86   	   0.00		 17.17   	-111.90		
  2.44   	  4.27   	 31.86   	  -5.09		 16.72   	 -30.52		
  3.97   	 -5.19   	 31.84   	   0.00		 16.60(D)	   5.09		
  6.71   	-19.53   	 31.84   	  -5.09		 16.62   	  25.43		
  9.16   	-30.82   	 31.82   	  -5.09		 16.72   	 111.90		
 10.07   	-33.87   	 31.80   	   0.00		 17.17   	 218.72		
  8.24   	-29.91   	 31.80   	  -5.09		 18.05   	 279.75		
  4.58   	-24.72   	 31.78   	   0.00		 19.17   	 391.66		
  0.31   	-25.63   	 31.78   	   0.00		 20.73   	 605.29		
 -3.05   	-32.96   	 31.78   	  -5.09		 23.15   	 757.88		
 -4.27   	-43.64   	 31.76   	 -10.17		 26.19   	 701.93		
 -3.66   	-51.88   	 31.72   	 -10.17		 28.99   	 467.95		
 -1.83   	-54.93   	 31.68   	 -15.26		 30.86   	 147.51		
 -0.61   	-54.63   	 31.62   	 -20.35		 31.45   	-172.94		
  0.00   	-53.71   	 31.54   	 -25.43		 30.76   	-417.09		
 -0.61   	-53.10   	 31.43   	 -30.52		 29.09   	-600.20		
 -1.53   	-52.49   	 31.31   	 -25.43		 26.69   	-676.50		
 -2.75   	-51.57   	 31.21   	 -30.52		 23.99   	-615.46		
 -4.27   	-51.88   	 31.09   	 -25.43		 21.53   	-452.69		
 -5.49   	-54.32   	 30.99   	 -25.43		 19.72   	-264.50		
 -6.10   	-57.98   	 30.88   	 -20.35		 18.66   	 -91.56		
 -7.02   	-59.51   	 30.80   	 -20.35		 18.29   	 101.73		
 -7.32   	-57.37   	 30.72   	 -20.35		 18.70   	 289.93		
 -8.24   	-53.10   	 30.64   	 -15.26		 19.86   	 427.26		
 -8.85   	-51.57   	 30.58   	 -15.26		 21.57   	 478.13		
 -9.46   	-57.07   	 30.52   	 -20.35		 23.48   	 386.57		
 -9.46   	-68.05   	 30.44   	 -15.26		 25.03   	 172.94		
 -9.77   	-79.35   	 30.38   	 -10.17		 25.72   	   0.00		
