  I     	  LV     	  LV'		  RA     	  RA'		
 57.68   	112.59   	 554.42		 13.14   	 -76.30		
 64.70   	114.81   	 544.25		 12.84   	 -71.21		
 72.33   	116.99   	 523.90		 12.55   	 -71.21		
 80.26   	119.08   	 503.56		 12.27   	 -66.12		
 89.42   	121.10   	 478.13		 12.00   	 -61.04		
 99.49   	123.01   	 447.61		 11.76   	 -61.04		
109.86   	124.80   	 412.00		 11.52   	 -50.86		
120.54   	126.45   	 381.48		 11.31   	 -40.69		
130.92   	127.98   	 335.71		 11.15   	 -40.69		
141.30   	129.32   	 295.01		 10.99   	 -25.43		
151.98   	130.50   	 254.32		 10.89   	 -20.35		
162.66   	131.52   	 228.89		 10.80   	 -15.26		
172.73   	132.43   	 203.46		 10.74   	  -5.09		
181.88   	133.24   	 203.46		 10.72   	   0.00		
188.90   	134.06   	 203.46		 10.72   	  10.17		
193.48   	134.87   	 208.54		 10.76   	  15.26		
193.48   	135.71   	 208.54		 10.82   	  25.43		
188.90   	136.54   	 203.46		 10.93   	  30.52		
179.75   	137.35   	 178.03		 11.05   	  40.69		
168.15   	138.07   	 137.33		 11.21   	  45.78		
156.56   	138.62   	  76.30		 11.39   	  50.86		
144.96   	138.92   	  10.17		 11.60   	  55.95		
132.14   	138.96(S)	 -66.12		 11.82   	  66.12		
117.49   	138.70   	-137.33		 12.09   	  66.12		
100.10   	138.15   	-213.63		 12.35   	  66.12		
 80.57   	137.29   	-274.67		 12.61   	  66.12		
 59.51   	136.19   	-315.36		 12.88   	  71.21		
 38.76   	134.93   	-345.88		 13.16   	  71.21		
 18.62   	133.55   	-356.05		 13.45   	  66.12		
  0.92   	132.13   	-356.05		 13.71   	  71.21		
-13.73   	130.70   	-350.97		 14.00   	  66.12		
-25.33   	129.30   	-325.53		 14.26   	  71.21		
-35.10   	128.00   	-300.10		 14.55   	  66.12		
-44.25   	126.80   	-279.75		 14.81   	  66.12		
-52.80   	125.68   	-254.32		 15.08   	  66.12		
-60.12   	124.66   	-239.06		 15.34   	  66.12		
-65.61   	123.70   	-233.98		 15.61   	  55.95		
-69.89   	122.77   	-228.89		 15.83   	  55.95		
-73.85   	121.85   	-233.98		 16.05   	  50.86		
-78.13   	120.92   	-239.06		 16.26   	  45.78		
-82.09   	119.96   	-249.24		 16.44   	  35.61		
-84.84   	118.96   	-264.50		 16.58   	  30.52		
-86.36   	117.90   	-284.84		 16.70   	  25.43		
-86.67   	116.76   	-315.36		 16.81   	  20.35		
-86.67   	115.50   	-350.97		 16.89   	  15.26		
-86.36   	114.10   	-396.74		 16.95   	  10.17		
-86.06   	112.51   	-447.61		 16.99   	   5.09		
-85.45   	110.72   	-493.39		 17.01   	   0.00		
-84.53   	108.75   	-549.34		 17.01   	   0.00		
-83.92   	106.55   	-610.37		 17.01   	  -5.09		
-83.31   	104.11   	-671.41		 16.99   	  -5.09		
-83.31   	101.42   	-717.19		 16.97   	 -10.17		
-83.92   	 98.56   	-762.97		 16.93   	  -5.09		
-85.14   	 95.50   	-783.31		 16.91   	 -10.17		
-86.36   	 92.37   	-813.83		 16.87   	 -10.17		
-86.98   	 89.11   	-849.44		 16.83   	  -5.09		
-86.06   	 85.72   	-910.47		 16.81   	 -10.17		
-84.23   	 82.07   	-976.60		 16.76   	 -10.17		
-82.40   	 78.17   	-1063.07		 16.72   	 -10.17		
-81.18   	 73.92   	-1144.45		 16.68   	 -10.17		
-80.26   	 69.34   	-1220.75		 16.64   	  -5.09		
-79.04   	 64.46   	-1276.70		 16.62   	 -15.26		
-77.21   	 59.35   	-1302.13		 16.56   	 -10.17		
-75.07   	 54.14   	-1286.87		 16.52   	 -10.17		
-74.16   	 48.99   	-1241.09		 16.48   	 -15.26		
-74.16   	 44.03   	-1154.62		 16.42   	 -20.35		
-75.38   	 39.41   	-1047.81		 16.34   	 -15.26		
-76.29   	 35.22   	-915.56		 16.28   	 -20.35		
-76.29   	 31.56   	-773.14		 16.20   	 -20.35		
-75.99   	 28.46   	-645.98		 16.11   	 -20.35		
-75.07   	 25.88   	-513.73		 16.03   	 -25.43		
-74.77   	 23.82   	-412.00		 15.93   	 -20.35		
-74.16   	 22.18   	-330.62		 15.85   	 -30.52		
-72.94   	 20.85   	-264.50		 15.73   	 -25.43		
-71.41   	 19.80   	-228.89		 15.63   	 -30.52		
-69.58   	 18.88   	-208.54		 15.50   	 -30.52		
-68.05   	 18.05   	-203.46		 15.38   	 -35.61		
-67.44   	 17.23   	-203.46		 15.24   	 -30.52		
-67.14   	 16.42   	-208.54		 15.12   	 -35.61		
-67.14   	 15.58   	-213.63		 14.97   	 -35.61		
-66.53   	 14.73   	-208.54		 14.83   	 -35.61		
-65.00   	 13.90   	-198.37		 14.69   	 -35.61		
-63.17   	 13.10   	-183.11		 14.55   	 -35.61		
-62.26   	 12.37   	-152.59		 14.40   	 -35.61		
-62.87   	 11.76   	-116.99		 14.26   	 -30.52		
-63.78   	 11.29   	 -81.38		 14.14   	 -35.61		
-64.09   	 10.97   	 -35.61		 14.00   	 -30.52		
-62.87   	 10.82(D)	   0.00		 13.88   	 -35.61		
-61.34   	 10.82   	  35.61		 13.73   	 -30.52		
-61.04   	 10.97   	  61.04		 13.61   	 -30.52		
-62.56   	 11.21   	  81.38		 13.49   	 -30.52		
-65.00   	 11.54   	  91.56		 13.37   	 -25.43		
-65.92   	 11.90   	  96.64		 13.27   	 -30.52		
-63.48   	 12.29   	  91.56		 13.14   	 -25.43		
-56.46   	 12.66   	  81.38		 13.04   	 -20.35		
-46.69   	 12.98   	  66.12		 12.96   	 -20.35		
-37.54   	 13.25   	  50.86		 12.88   	 -20.35		
-31.13   	 13.45   	  40.69		 12.80   	 -15.26		
-28.08   	 13.61   	  40.69		 12.74   	 -15.26		
-26.55   	 13.77   	  35.61		 12.68   	  -5.09		
-23.50   	 13.92   	  40.69		 12.66   	  -5.09		
-18.01   	 14.08   	  55.95		 12.63   	   0.00		
-10.68   	 14.30   	  76.30		 12.63   	   5.09		
 -3.66   	 14.61   	  91.56		 12.66   	   5.09		
  1.83   	 14.97   	 106.82		 12.68   	  15.26		
  4.88   	 15.40   	 127.16		 12.74   	  15.26		
  6.10   	 15.91   	 137.33		 12.80   	  20.35		
  7.02   	 16.46   	 142.42		 12.88   	  20.35		
  8.54   	 17.03   	 132.25		 12.96   	  25.43		
 11.60   	 17.56   	 127.16		 13.06   	  30.52		
 15.26   	 18.07   	 106.82		 13.18   	  35.61		
 15.87   	 18.49   	  86.47		 13.33   	  35.61		
 10.38   	 18.84   	  66.12		 13.47   	  40.69		
 -3.05   	 19.10   	  40.69		 13.63   	  45.78		
-22.89   	 19.27   	  25.43		 13.81   	  45.78		
-44.86   	 19.37   	  15.26		 14.00   	  50.86		
-65.00   	 19.43   	   0.00		 14.20   	  50.86		
-79.04   	 19.43   	   0.00		 14.40   	  55.95		
-85.75   	 19.43   	   0.00		 14.63   	  55.95		
-86.98   	 19.43   	  10.17		 14.85   	  50.86		
-84.84   	 19.47   	  15.26		 15.06   	  55.95		
-83.01   	 19.53   	  20.35		 15.28   	  50.86		
-82.40   	 19.61   	  30.52		 15.48   	  50.86		
-83.01   	 19.74   	  40.69		 15.69   	  45.78		
-83.62   	 19.90   	  40.69		 15.87   	  45.78		
-83.62   	 20.06   	  45.78		 16.05   	  40.69		
-82.40   	 20.24   	  40.69		 16.22   	  35.61		
-80.26   	 20.41   	  40.69		 16.36   	  30.52		
-78.43   	 20.57   	  35.61		 16.48   	  25.43		
-76.29   	 20.71   	  35.61		 16.58   	  20.35		
-75.07   	 20.85   	  30.52		 16.66   	  20.35		
-75.07   	 20.98   	  35.61		 16.74   	  10.17		
-76.60   	 21.12   	  35.61		 16.79   	  10.17		
-81.48   	 21.26   	  40.69		 16.83   	   5.09		
-92.16   	 21.42   	  50.86		 16.85   	   5.09		
-108.34   	 21.63   	  55.95		 16.87   	   0.00		
-129.09   	 21.85   	  61.04		 16.87   	   0.00		
-151.37   	 22.10   	  66.12		 16.87   	   0.00		
-168.46   	 22.36   	  66.12		 16.87   	   5.09		
-172.12   	 22.62   	  66.12		 16.89   	   0.00		
-149.84   	 22.89   	  66.12		 16.89   	   5.09		
-86.36   	 23.15   	  61.04		 16.91   	   5.09		
 30.52   	 23.40   	  50.86		 16.93   	   5.09		
201.42   	 23.60   	  45.78		 16.95   	   5.09		
408.94   	 23.78   	  40.69		 16.97(A)	   0.00		
609.13   	 23.95   	  30.52		 16.97   	  -5.09		
739.75   	 24.07   	  25.43		 16.95   	 -10.17		
748.60(R)	 24.17(E)	  20.35		 16.91   	 -10.17		
630.49   	 24.25   	  25.43		 16.87   	 -20.35		
438.54   	 24.35   	  30.52		 16.79   	 -25.43		
262.15   	 24.48   	  50.86		 16.68   	 -30.52		
171.81   	 24.68   	  71.21		 16.56   	 -35.61		
174.56   	 24.96   	 101.73		 16.42   	 -40.69		
217.59   	 25.37   	 147.51		 16.26   	 -50.86		
236.21   	 25.96   	 203.46		 16.05   	 -50.86		
200.20   	 26.78   	 269.58		 15.85   	 -55.95		
121.77   	 27.85   	 361.14		 15.63   	 -61.04		
 34.48   	 29.30   	 452.69		 15.38   	 -55.95		
-34.48   	 31.11   	 564.60		 15.16   	 -61.04		
-74.16   	 33.37   	 671.41		 14.91   	 -55.95		
-85.75   	 36.05   	 778.23		 14.69   	 -55.95		
-77.51   	 39.17   	 879.96		 14.47   	 -45.78		
-61.04   	 42.69   	 981.68		 14.28   	 -45.78		
-49.13   	 46.61   	1073.24		 14.10   	 -35.61		
-47.30   	 50.91   	1169.88		 13.96   	 -25.43		
-53.10   	 55.58   	1261.44		 13.86   	 -25.43		
-58.59   	 60.63   	1332.65		 13.75   	 -15.26		
-58.90   	 65.96   	1378.43		 13.69   	 -15.26		
-55.54   	 71.47   	1378.43		 13.63   	 -10.17		
-52.19   	 76.99   	1347.91		 13.59   	  -5.09		
-50.35   	 82.38   	1271.61		 13.57   	  -5.09		
-49.13   	 87.47   	1164.80		 13.55   	  -5.09		
-46.39   	 92.13   	1037.64		 13.53   	 -10.17		
-42.72   	 96.28   	 905.39		 13.49   	 -10.17		
-38.45   	 99.90   	 793.49		 13.45   	 -15.26		
-34.48   	103.07   	 696.84		 13.39   	 -15.26		
-30.82   	105.86   	 635.81		 13.33   	 -25.43		
-27.47   	108.40   	 605.29		 13.22   	 -30.52		
-22.89   	110.82   	 605.29		 13.10   	 -35.61		
-17.70   	113.24   	 625.63		 12.96   	 -35.61		
-11.90   	115.75   	 651.07		 12.82   	 -40.69		
 -7.02   	118.35   	 681.58		 12.66   	 -40.69		
 -2.75   	121.08   	 696.84		 12.49   	 -40.69		
  1.53   	123.87   	 696.84		 12.33   	 -45.78		
  7.63   	126.65   	 676.50		 12.15   	 -45.78		
 15.56   	129.36   	 630.72		 11.96   	 -45.78		
 24.72   	131.88   	 574.77		 11.78   	 -50.86		
 32.65   	134.18   	 508.65		 11.58   	 -45.78		
 39.06   	136.22   	 442.52		 11.39   	 -40.69		
 44.56   	137.99   	 371.31		 11.23   	 -45.78		
 50.66   	139.47   	 315.36		 11.05   	 -40.69		
 58.29   	140.73   	 264.50		 10.89   	 -35.61		
 67.14   	141.79   	 233.98		 10.74   	 -35.61		
 76.29   	142.73   	 213.63		 10.60   	 -35.61		
 85.14   	143.58   	 218.72		 10.46   	 -30.52		
 94.30   	144.46   	 223.80		 10.34   	 -25.43		
104.37   	145.35   	 239.06		 10.23   	 -25.43		
115.05   	146.31   	 254.32		 10.13   	 -20.35		
125.12   	147.32   	 269.58		 10.05   	 -15.26		
133.97   	148.40   	 269.58		  9.99   	 -10.17		
140.38   	149.48   	 249.24		  9.95   	 -10.17		
144.65   	150.48   	 213.63		  9.91   	  -5.09		
145.87   	151.33   	 157.68		  9.89   	   0.00		
144.35   	151.96   	  81.38		  9.89   	   0.00		
139.47   	152.29(S)	  -5.09		  9.89   	   0.00		
130.92   	152.27   	 -91.56		  9.89   	   5.09		
119.63   	151.90   	-178.03		  9.91   	  10.17		
106.20   	151.19   	-244.15		  9.95   	   5.09		
 91.55   	150.21   	-289.93		  9.97   	  10.17		
 76.60   	149.05   	-310.27		 10.01   	  10.17		
 62.26   	147.81   	-300.10		 10.05   	  10.17		
 47.61   	146.61   	-269.58		 10.09   	  15.26		
 32.35   	145.53   	-233.98		 10.15   	  15.26		
 17.09   	144.60   	-188.20		 10.21   	  25.43		
  2.75   	143.84   	-147.51		 10.32   	  20.35		
-10.38   	143.25   	-116.99		 10.40   	  25.43		
-21.97   	142.79   	-106.82		 10.50   	  30.52		
-32.96   	142.36   	-111.90		 10.62   	  30.52		
-43.64   	141.91   	-132.25		 10.74   	  30.52		
-53.41   	141.38   	-172.94		 10.86   	  30.52		
-61.04   	140.69   	-213.63		 10.99   	  35.61		
-66.53   	139.84   	-254.32		 11.13   	  35.61		
-70.50   	138.82   	-295.01		 11.27   	  35.61		
-73.24   	137.64   	-320.45		 11.41   	  35.61		
-75.68   	136.36   	-335.71		 11.56   	  35.61		
-77.51   	135.01   	-335.71		 11.70   	  40.69		
-77.82   	133.67   	-330.62		 11.86   	  40.69		
-77.51   	132.35   	-330.62		 12.02   	  40.69		
-77.51   	131.03   	-325.53		 12.19   	  35.61		
-78.74   	129.72   	-335.71		 12.33   	  40.69		
-80.57   	128.38   	-350.97		 12.49   	  40.69		
-82.09   	126.98   	-371.31		 12.66   	  40.69		
-82.40   	125.49   	-396.74		 12.82   	  35.61		
-81.18   	123.91   	-432.35		 12.96   	  40.69		
-79.65   	122.18   	-473.04		 13.12   	  45.78		
-78.74   	120.28   	-518.82		 13.31   	  40.69		
-79.04   	118.21   	-569.68		 13.47   	  40.69		
-79.96   	115.93   	-620.55		 13.63   	  40.69		
-80.57   	113.45   	-681.58		 13.79   	  40.69		
-79.96   	110.72   	-732.45		 13.96   	  35.61		
-78.43   	107.79   	-778.23		 14.10   	  40.69		
-75.99   	104.68   	-808.75		 14.26   	  35.61		
-73.85   	101.44   	-849.44		 14.40   	  35.61		
-72.63   	 98.05   	-895.22		 14.55   	  35.61		
-71.41   	 94.47   	-956.25		 14.69   	  30.52		
-70.50   	 90.64   	-1037.64		 14.81   	  25.43		
-68.66   	 86.49   	-1124.11		 14.91   	  25.43		
-66.53   	 81.99   	-1210.58		 15.02   	  20.35		
-65.00   	 77.15   	-1286.87		 15.10   	  15.26		
-64.39   	 72.00   	-1332.65		 15.16   	  15.26		
-65.31   	 66.67   	-1353.00		 15.22   	   5.09		
-65.92   	 61.26   	-1327.56		 15.24   	  10.17		
-65.92   	 55.95   	-1271.61		 15.28   	   5.09		
-65.31   	 50.86   	-1174.97		 15.30   	   0.00		
-65.00   	 46.16   	-1057.98		 15.30   	   0.00		
-65.61   	 41.93   	-925.73		 15.30   	   0.00		
-67.14   	 38.23   	-788.40		 15.30   	   0.00		
-68.66   	 35.08   	-656.15		 15.30   	  -5.09		
-68.97   	 32.45   	-539.16		 15.28   	  -5.09		
-68.05   	 30.29   	-452.69		 15.26   	 -10.17		
-66.22   	 28.48   	-376.40		 15.22   	  -5.09		
-65.00   	 26.98   	-340.79		 15.20   	 -10.17		
-64.39   	 25.62   	-310.27		 15.16   	 -15.26		
-65.31   	 24.37   	-305.19		 15.10   	 -15.26		
-66.83   	 23.15   	-300.10		 15.04   	 -15.26		
-68.66   	 21.95   	-305.19		 14.97   	 -20.35		
-69.89   	 20.73   	-310.27		 14.89   	 -25.43		
-70.50   	 19.49   	-305.19		 14.79   	 -20.35		
-69.89   	 18.27   	-289.93		 14.71   	 -25.43		
-68.36   	 17.11   	-269.58		 14.61   	 -20.35		
-66.22   	 16.03   	-233.98		 14.53   	 -25.43		
-64.70   	 15.10   	-193.29		 14.43   	 -25.43		
-64.39   	 14.32   	-142.42		 14.32   	 -20.35		
-65.00   	 13.75   	 -96.64		 14.24   	 -25.43		
-66.22   	 13.37   	 -45.78		 14.14   	 -20.35		
-66.53   	 13.18   	  -5.09		 14.06   	 -20.35		
-64.39   	 13.16(D)	  35.61		 13.98   	 -15.26		
-60.12   	 13.31   	  55.95		 13.92   	 -20.35		
-54.02   	 13.53   	  76.30		 13.84   	 -15.26		
-47.00   	 13.84   	  81.38		 13.77   	 -15.26		
-39.67   	 14.16   	  86.47		 13.71   	 -15.26		
-32.65   	 14.51   	  86.47		 13.65   	 -15.26		
-25.94   	 14.85   	  71.21		 13.59   	 -10.17		
-19.84   	 15.14   	  66.12		 13.55   	  -5.09		
-14.65   	 15.40   	  61.04		 13.53   	 -10.17		
 -9.46   	 15.65   	  50.86		 13.49   	   0.00		
 -4.58   	 15.85   	  45.78		 13.49   	  -5.09		
  0.61   	 16.03   	  50.86		 13.47   	   5.09		
  5.19   	 16.24   	  50.86		 13.49   	   0.00		
  7.93   	 16.44   	  61.04		 13.49   	   5.09		
  8.54   	 16.68   	  61.04		 13.51   	  10.17		
  7.93   	 16.93   	  76.30		 13.55   	  15.26		
  8.24   	 17.23   	  76.30		 13.61   	  15.26		
 11.29   	 17.54   	  86.47		 13.67   	  15.26		
 17.40   	 17.88   	  81.38		 13.73   	  20.35		
 22.58   	 18.21   	  86.47		 13.81   	  20.35		
 22.58   	 18.56   	  76.30		 13.90   	  25.43		
 13.43   	 18.86   	  76.30		 14.00   	  25.43		
 -5.19   	 19.17   	  66.12		 14.10   	  25.43		
-29.30   	 19.43   	  55.95		 14.20   	  35.61		
-53.71   	 19.65   	  50.86		 14.34   	  30.52		
-73.24   	 19.86   	  50.86		 14.47   	  30.52		
-84.84   	 20.06   	  40.69		 14.59   	  35.61		
-88.50   	 20.22   	  45.78		 14.73   	  40.69		
-87.59   	 20.41   	  40.69		 14.89   	  35.61		
-84.84   	 20.57   	  45.78		 15.04   	  35.61		
-83.31   	 20.75   	  45.78		 15.18   	  35.61		
-83.01   	 20.94   	  50.86		 15.32   	  35.61		
-83.31   	 21.14   	  50.86		 15.46   	  35.61		
-83.01   	 21.34   	  50.86		 15.61   	  30.52		
-82.40   	 21.55   	  55.95		 15.73   	  30.52		
-80.87   	 21.77   	  50.86		 15.85   	  20.35		
-78.74   	 21.97   	  61.04		 15.93   	  20.35		
-76.29   	 22.22   	  55.95		 16.01   	  15.26		
-74.16   	 22.44   	  66.12		 16.07   	  10.17		
-72.63   	 22.71   	  71.21		 16.11   	   5.09		
-72.94   	 22.99   	  81.38		 16.13   	   5.09		
-76.29   	 23.32   	  91.56		 16.15   	   5.09		
-83.92   	 23.68   	  96.64		 16.17   	   0.00		
-96.74   	 24.07   	 111.90		 16.17   	   5.09		
-114.75   	 24.52   	 111.90		 16.20(V)	  -5.09		
-135.19   	 24.96   	 122.07		 16.17   	  -5.09		
-155.03   	 25.45   	 116.99		 16.15   	  -5.09		
-167.54   	 25.92   	 111.90		 16.13   	 -10.17		
-163.57   	 26.37   	 101.73		 16.09   	 -10.17		
-130.00   	 26.78   	  81.38		 16.05   	 -20.35		
-50.05   	 27.10   	  71.21		 15.97   	 -20.35		
 86.67   	 27.39   	  45.78		 15.89   	 -20.35		
278.02   	 27.57   	  20.35		 15.81   	 -30.52		
498.66   	 27.65   	  10.17		 15.69   	 -25.43		
693.36   	 27.69   	 -10.17		 15.58   	 -30.52		
795.90(R)	 27.65   	 -15.26		 15.46   	 -30.52		
766.30   	 27.59   	 -20.35		 15.34   	 -30.52		
621.64   	 27.51   	 -15.26		 15.22   	 -30.52		
435.49   	 27.45(E)	   5.09		 15.10   	 -25.43		
295.72   	 27.47   	  30.52		 14.99   	 -25.43		
247.19   	 27.59   	  71.21		 14.89   	 -25.43		
266.72   	 27.87   	 116.99		 14.79   	 -25.43		
291.75   	 28.34   	 178.03		 14.69   	 -20.35		
272.83   	 29.05   	 254.32		 14.61   	 -25.43		
202.33   	 30.07   	 350.97		 14.51   	 -30.52		
107.42   	 31.47   	 452.69		 14.38   	 -25.43		
 19.53   	 33.29   	 564.60		 14.28   	 -35.61		
-42.11   	 35.54   	 681.58		 14.14   	 -35.61		
-74.46   	 38.27   	 798.57		 14.00   	 -35.61		
-80.87   	 41.46   	 905.39		 13.86   	 -40.69		
-70.80   	 45.09   	1017.29		 13.69   	 -35.61		
-56.46   	 49.16   	1124.11		 13.55   	 -40.69		
-49.44   	 53.65   	1230.92		 13.39   	 -35.61		
-52.80   	 58.58   	1337.74		 13.25   	 -30.52		
-60.12   	 63.93   	1414.03		 13.12   	 -25.43		
-63.78   	 69.58   	1475.07		 13.02   	 -25.43		
-60.42   	 75.48   	1485.24		 12.92   	 -20.35		
-53.41   	 81.42   	1454.72		 12.84   	 -15.26		
-47.61   	 87.24   	1373.34		 12.78   	 -15.26		
-44.86   	 92.74   	1256.35		 12.72   	 -10.17		
-44.56   	 97.76   	1113.93		 12.68   	 -10.17		
-44.25   	102.22   	 961.34		 12.63   	  -5.09		
-43.95   	106.06   	 813.83		 12.61   	  -5.09		
-42.11   	109.32   	 691.76		 12.59   	   0.00		
-39.06   	112.09   	 595.11		 12.59   	   0.00		
-35.10   	114.47   	 539.16		 12.59   	   0.00		
-29.91   	116.62   	 528.99		 12.59   	  -5.09		
-24.72   	118.74   	 539.16		 12.57   	   0.00		
-19.23   	120.89   	 574.77		 12.57   	   0.00		
-13.73   	123.19   	 615.46		 12.57   	  -5.09		
 -8.85   	125.66   	 651.07		 12.55   	  -5.09		
 -4.27   	128.26   	 671.41		 12.53   	 -10.17		
  0.31   	130.95   	 661.24		 12.49   	 -10.17		
  5.80   	133.59   	 640.89		 12.45   	 -10.17		
 12.82   	136.15   	 595.11		 12.41   	 -15.26		
 19.53   	138.53   	 539.16		 12.35   	 -20.35		
 24.72   	140.69   	 473.04		 12.27   	 -20.35		
 28.69   	142.58   	 401.83		 12.19   	 -20.35		
 33.57   	144.19   	 335.71		 12.11   	 -20.35		
 41.81   	145.53   	 269.58		 12.02   	 -25.43		
 54.63   	146.61   	 218.72		 11.92   	 -20.35		
 69.58   	147.49   	 193.29		 11.84   	 -30.52		
 84.23   	148.26   	 178.03		 11.72   	 -25.43		
 96.13   	148.97   	 183.11		 11.62   	 -25.43		
104.98   	149.70   	 193.29		 11.52   	 -30.52		
113.22   	150.48   	 213.63		 11.39   	 -25.43		
121.77   	151.33   	 233.98		 11.29   	 -30.52		
130.62   	152.27   	 239.06		 11.17   	 -25.43		
138.55   	153.22   	 239.06		 11.07   	 -25.43		
143.74   	154.18   	 223.80		 10.97   	 -25.43		
145.57   	155.08   	 183.11		 10.86   	 -20.35		
143.43   	155.81   	 132.25		 10.78   	 -20.35		
137.63   	156.34   	  61.04		 10.70   	 -20.35		
128.78   	156.58(S)	 -10.17		 10.62   	 -20.35		
118.10   	156.54   	 -86.47		 10.54   	 -15.26		
106.20   	156.19   	-152.59		 10.48   	 -20.35		
 93.38   	155.58   	-213.63		 10.40   	 -15.26		
 79.65   	154.73   	-259.41		 10.34   	 -20.35		
 65.61   	153.69   	-289.93		 10.25   	 -15.26		
 51.57   	152.53   	-315.36		 10.19   	 -15.26		
 37.23   	151.27   	-310.27		 10.13   	 -15.26		
 23.50   	150.03   	-300.10		 10.07   	 -15.26		
  9.46   	148.83   	-269.58		 10.01   	 -10.17		
 -4.27   	147.75   	-244.15		  9.97   	  -5.09		
-17.09   	146.77   	-208.54		  9.95   	 -10.17		
-28.38   	145.94   	-183.11		  9.91   	  -5.09		
-38.45   	145.21   	-157.68		  9.89   	   0.00		
-47.00   	144.58   	-152.59		  9.89   	  -5.09		
-54.93   	143.97   	-152.59		  9.87   	   0.00		
-63.17   	143.36   	-162.77		  9.87   	   5.09		
-71.72   	142.71   	-178.03		  9.89   	   5.09		
-79.04   	141.99   	-193.29		  9.91   	  10.17		
-84.23   	141.22   	-223.80		  9.95   	  15.26		
-86.06   	140.32   	-249.24		 10.01   	  20.35		
-85.45   	139.33   	-279.75		 10.09   	  20.35		
-84.23   	138.21   	-310.27		 10.17   	  25.43		
-84.23   	136.97   	-340.79		 10.27   	  30.52		
-84.84   	135.60   	-366.22		 10.40   	  35.61		
-85.75   	134.14   	-391.66		 10.54   	  30.52		
-85.45   	132.57   	-422.18		 10.66   	  35.61		
-85.14   	130.88   	-457.78		 10.80   	  40.69		
-85.14   	129.05   	-503.56		 10.97   	  40.69		
-85.14   	127.04   	-554.42		 11.13   	  40.69		
-84.53   	124.82   	-610.37		 11.29   	  40.69		
-81.48   	122.38   	-666.32		 11.45   	  45.78		
-76.29   	119.71   	-722.28		 11.64   	  50.86		
-71.41   	116.83   	-773.14		 11.84   	  45.78		
-69.27   	113.73   	-813.83		 12.02   	  50.86		
-70.50   	110.48   	-839.26		 12.23   	  50.86		
-73.55   	107.12   	-859.61		 12.43   	  50.86		
-76.60   	103.68   	-895.22		 12.63   	  45.78		
-77.21   	100.10   	-946.08		 12.82   	  45.78		
-75.68   	 96.32   	-1017.29		 13.00   	  35.61		
-72.63   	 92.25   	-1108.85		 13.14   	  35.61		
-69.27   	 87.81   	-1215.66		 13.29   	  25.43		
-67.44   	 82.95   	-1322.48		 13.39   	  15.26		
-67.75   	 77.66   	-1419.12		 13.45   	   5.09		
-69.27   	 71.98   	-1485.24		 13.47   	  -5.09		
-70.50   	 66.04   	-1525.93		 13.45   	 -15.26		
-69.27   	 59.94   	-1515.76		 13.39   	 -25.43		
-65.61   	 53.88   	-1469.98		 13.29   	 -35.61		
-61.34   	 48.00   	-1378.43		 13.14   	 -45.78		
-58.59   	 42.48   	-1256.35		 12.96   	 -55.95		
-59.20   	 37.46   	-1124.11		 12.74   	 -61.04		
-61.95   	 32.96   	-971.51		 12.49   	 -66.12		
-65.00   	 29.07   	-829.09		 12.23   	 -76.30		
-66.83   	 25.76   	-696.84		 11.92   	 -76.30		
-67.14   	 22.97   	-584.94		 11.62   	 -81.38		
-67.44   	 20.63   	-488.30		 11.29   	 -86.47		
-69.27   	 18.68   	-412.00		 10.95   	 -86.47		
-71.72   	 17.03   	-356.05		 10.60   	 -91.56		
-74.16   	 15.61   	-320.45		 10.23   	 -86.47		
-75.68   	 14.32   	-289.93		  9.89   	 -81.38		
-76.29   	 13.16   	-269.58		  9.56   	 -86.47		
-76.60   	 12.09   	-254.32		  9.22   	 -76.30		
-76.60   	 11.07   	-228.89		  8.91   	 -76.30		
-76.60   	 10.15   	-203.46		  8.61   	 -71.21		
-75.68   	  9.34   	-172.94		  8.32   	 -61.04		
-73.24   	  8.65   	-137.33		  8.08   	 -55.95		
-68.36   	  8.10   	-101.73		  7.85   	 -50.86		
-60.73   	  7.69   	 -50.86		  7.65   	 -35.61		
-51.57   	  7.49   	 -15.26		  7.51   	 -30.52		
-43.95   	  7.43(D)	  25.43		  7.39   	 -25.43		
-39.67   	  7.53   	  66.12		  7.28   	 -10.17		
-38.15   	  7.79   	  91.56		  7.24   	  -5.09		
-35.71   	  8.16   	 111.90		  7.22   	   5.09		
-29.60   	  8.61   	 127.16		  7.24   	  10.17		
-20.14   	  9.11   	 137.33		  7.28   	  20.35		
-12.21   	  9.66   	 132.25		  7.37   	  25.43		
 -9.77   	 10.19   	 132.25		  7.47   	  35.61		
-12.82   	 10.72   	 116.99		  7.61   	  40.69		
-16.78   	 11.19   	 106.82		  7.77   	  45.78		
-17.09   	 11.62   	  91.56		  7.96   	  55.95		
-12.21   	 11.98   	  81.38		  8.18   	  55.95		
 -5.19   	 12.31   	  71.21		  8.40   	  66.12		
  0.31   	 12.59   	  55.95		  8.67   	  71.21		
  2.75   	 12.82   	  50.86		  8.95   	  76.30		
  3.97   	 13.02   	  50.86		  9.26   	  76.30		
  5.80   	 13.22   	  45.78		  9.56   	  86.47		
  6.71   	 13.41   	  45.78		  9.91   	  86.47		
  4.88   	 13.59   	  45.78		 10.25   	  96.64		
 -2.44   	 13.77   	  50.86		 10.64   	  96.64		
-16.48   	 13.98   	  50.86		 11.03   	 101.73		
